category,count,percent
temple,6068,37.88238231989013
restaurant,2909,18.160819078536647
cafe,2335,14.577350480709201
park,1500,9.364464976900987
attraction,969,6.049444375078037
historic,902,5.631164939443127
market,422,2.6345361468348107
museum,338,2.1101261081283558
viewpoint,260,1.6231739293295042
beach,126,0.7866150580596829
nature_area,56,0.34960669247097015
theme_park,45,0.2809339493070296
craft_village,35,0.21850418279435635
gallery,32,0.19977525284055436
zoo,11,0.06867274316394056
performance_venue,6,0.037457859907603946
old_quarter,4,0.024971906605069295
