field,present,denominator,percent
Tên,16018,16018,100.0
Tọa độ,16018,16018,100.0
Mô tả,1693,16018,10.569359470595579
Website,554,16018,3.4586090648020975
Ảnh đã chọn,1048,16018,6.542639530528156
Rating hợp lệ,86,16018,0.5368959920089899
Giờ có cấu trúc,1244,16018,7.766262954176552
Giờ đủ 7 ngày,1174,16018,7.329254588587839
Thời lượng riêng,33,16018,0.2060182294918217
Thời lượng xác minh,0,16018,0.0
Lối vào xác minh,0,16018,0.0
Khám phá được,15245,16018,95.17417904857037
Đủ metadata gợi ý,1475,16018,9.208390560619303
