location,normalized_name,count,ids
Hà Nội,highlands coffee,66,osm:node:10002371857 | osm:node:10082412846 | osm:node:10269656432 | osm:node:10272739935 | osm:node:10621408639 | osm:node:10621408647 | osm:node:10690742374 | osm:node:11152625107 | osm:node:11187188351 | osm:node:11283541744 | osm:node:11372720369 | osm:node:11389436636 | osm:node:11449233364 | osm:node:11478449863 | osm:node:11916970127 | osm:node:12043027554 | osm:node:12043046255 | osm:node:12118199552 | osm:node:12240739575 | osm:node:12243190801 | osm:node:12323861042 | osm:node:12434838529 | osm:node:12549262760 | osm:node:13039615002 | osm:node:13271879878 | osm:node:13666228501 | osm:node:13806229590 | osm:node:13836157612 | osm:node:13884420696 | osm:node:13888717614 | osm:node:13895997883 | osm:node:13912681356 | osm:node:13944634965 | osm:node:13945910808 | osm:node:3036397234 | osm:node:4281628989 | osm:node:4417630567 | osm:node:4531007898 | osm:node:4784096021 | osm:node:5027573621 | osm:node:5035878823 | osm:node:5070534521 | osm:node:5243867636 | osm:node:5485648577 | osm:node:5485651792 | osm:node:5485674588 | osm:node:5859449689 | osm:node:6009487787 | osm:node:6466624059 | osm:node:6811944354 | osm:node:7055941263 | osm:node:7056177585 | osm:node:7160691492 | osm:node:7178815623 | osm:node:7841766009 | osm:node:8154076831 | osm:node:8407277642 | osm:node:8900260999 | osm:node:9043797448 | osm:node:9951113018 | osm:node:9952063418 | osm:way:1302250723 | osm:way:1329845838 | osm:way:708521401 | osm:way:892577166 | osm:way:899221545
An Giang,cong vien,36,osm:way:1108260166 | osm:way:1108260510 | osm:way:1108260605 | osm:way:1108260812 | osm:way:1108260997 | osm:way:1108261072 | osm:way:1108261283 | osm:way:1108261351 | osm:way:1108261384 | osm:way:1108262113 | osm:way:1108262160 | osm:way:1108262450 | osm:way:1108262648 | osm:way:1108263348 | osm:way:1108263995 | osm:way:1108264221 | osm:way:1108274121 | osm:way:1108275475 | osm:way:1108275551 | osm:way:1108275573 | osm:way:1108275635 | osm:way:1108275826 | osm:way:1108276449 | osm:way:1110288163 | osm:way:1110288264 | osm:way:1110288520 | osm:way:1110289142 | osm:way:1110289298 | osm:way:1110289610 | osm:way:1110290157 | osm:way:1110290268 | osm:way:1110290511 | osm:way:1110290646 | osm:way:223985503 | osm:way:685242229 | osm:way:778146368
Hà Nội,the coffee house,33,osm:node:11039425483 | osm:node:4697346784 | osm:node:5621040322 | osm:node:6149039485 | osm:node:6846162967 | osm:node:7056055192 | osm:node:7056055193 | osm:node:7056055194 | osm:node:7056055197 | osm:node:7056055198 | osm:node:7056055199 | osm:node:7056055200 | osm:node:7056055201 | osm:node:7056055202 | osm:node:7056055203 | osm:node:7056055204 | osm:node:7056055205 | osm:node:7056055208 | osm:node:7056055209 | osm:node:7056055211 | osm:node:7056055212 | osm:node:7056055213 | osm:node:7056055214 | osm:node:7056055216 | osm:node:7056055217 | osm:node:7056055218 | osm:node:7090399807 | osm:node:8906156035 | osm:node:8938779418 | osm:node:9961839403 | osm:way:1329845893 | osm:way:863793823 | osm:way:899679881
Hà Nội,lotteria,25,osm:node:10621408642 | osm:node:11799743443 | osm:node:11929860879 | osm:node:12164856801 | osm:node:12277048843 | osm:node:12287492384 | osm:node:12823270593 | osm:node:13632874302 | osm:node:13912681355 | osm:node:4507417291 | osm:node:4535978495 | osm:node:5036642922 | osm:node:5485670930 | osm:node:5680772376 | osm:node:6224015609 | osm:node:6491366585 | osm:node:6658873504 | osm:node:6846162969 | osm:node:7056017420 | osm:node:9931517986 | osm:way:1231374579 | osm:way:1329845834 | osm:way:1331951049 | osm:way:892577376 | osm:way:899221544
Hà Nội,kfc,24,osm:node:11212195515 | osm:node:11237992813 | osm:node:12331430862 | osm:node:13806229577 | osm:node:13912681354 | osm:node:3715457786 | osm:node:4413364391 | osm:node:442913494 | osm:node:4538467361 | osm:node:481837568 | osm:node:4859558525 | osm:node:5112142021 | osm:node:5485777714 | osm:node:5485879965 | osm:node:6611696185 | osm:node:6658026112 | osm:node:6658873511 | osm:node:7056021081 | osm:node:9407362504 | osm:node:9683275500 | osm:node:9964447763 | osm:way:1331658928 | osm:way:892577134 | osm:way:899679880
Hà Nội,starbucks,20,osm:node:10002371862 | osm:node:10269656431 | osm:node:10269656433 | osm:node:10621408648 | osm:node:11173421913 | osm:node:11536272574 | osm:node:12118199553 | osm:node:12277048842 | osm:node:12331430863 | osm:node:12372389429 | osm:node:12828541766 | osm:node:13284316428 | osm:node:13284330528 | osm:node:13806229567 | osm:node:6429760086 | osm:node:7053793591 | osm:node:7176671001 | osm:node:8929646295 | osm:node:9942330783 | osm:node:9951113019
Hà Nội,cong ca phe,20,osm:node:12372377830 | osm:node:14064444702 | osm:node:4453120690 | osm:node:4568021791 | osm:node:4601307889 | osm:node:4831974121 | osm:node:5030121722 | osm:node:5072875424 | osm:node:5133284823 | osm:node:5485659318 | osm:node:5485735851 | osm:node:5761335023 | osm:node:6024401286 | osm:node:6027206187 | osm:node:6139814449 | osm:node:6531739087 | osm:node:6846162970 | osm:node:7099271385 | osm:node:9624104359 | osm:way:1254526558
Đà Nẵng,highlands coffee,19,osm:node:11609564692 | osm:node:13036529160 | osm:node:13204937554 | osm:node:13288936111 | osm:node:13290098752 | osm:node:13421486901 | osm:node:13542865076 | osm:node:13990162765 | osm:node:14104855301 | osm:node:4403884590 | osm:node:5301723622 | osm:node:6520986631 | osm:node:6563961976 | osm:node:6680247851 | osm:node:6698271431 | osm:node:7085762965 | osm:node:729406744 | osm:way:1314405280 | osm:way:1535565790
Hà Nội,pizza hut,18,osm:node:13912681353 | osm:node:2399180443 | osm:node:4090272750 | osm:node:4090277644 | osm:node:4090279692 | osm:node:4090284259 | osm:node:4090297904 | osm:node:4090305470 | osm:node:4090309926 | osm:node:4091985948 | osm:node:4091988292 | osm:node:4091994843 | osm:node:4091998924 | osm:node:6690139595 | osm:node:6846162972 | osm:node:7076962085 | osm:node:9931514400 | osm:way:1331638432
Hà Nội,mixue,14,osm:node:11212149484 | osm:node:11212195517 | osm:node:11563334815 | osm:node:11645156888 | osm:node:11830565369 | osm:node:11832141669 | osm:node:11832188470 | osm:node:11834016869 | osm:node:12109633453 | osm:node:13418020264 | osm:node:13888717612 | osm:way:1211287036 | osm:way:1331658969 | osm:way:1454693639
