location,count,percent
Hà Nội,4499,28.08715195405169
Đà Nẵng,2752,17.180671744287675
Hồ Chí Minh,2419,15.101760519415658
An Giang,637,3.9767761268572857
Đồng Nai,552,3.446123111499563
Tây Ninh,424,2.6470221001373453
Lâm Đồng,421,2.6282931701835435
Bắc Ninh,380,2.372331127481583
Huế,361,2.253714571107504
Cần Thơ,326,2.0352103883131476
Ninh Bình,324,2.022724435010613
Hải Phòng,288,1.7979772755649894
Khánh Hoà,280,1.7480334623548508
,273,1.7043326257959794
Vĩnh Long,269,1.6793607191909101
Đồng Tháp,224,1.3984267698838806
Phú Thọ,181,1.1299787738793856
Gia Lai,170,1.0613060307154452
Hưng Yên,159,0.9926332875515046
Quảng Trị,157,0.9801473342489699
Quảng Ninh,119,0.7429142215008115
Đắk Lắk,116,0.7241852915470096
Tuyên Quang,113,0.7054563615932077
Quảng Ngãi,87,0.5431389686602572
Lào Cai,84,0.5244100387064552
Cà Mau,69,0.43076538893744537
Thanh Hoá,55,0.3433637158197028
Nghệ An,51,0.31839180921463356
Hà Tĩnh,45,0.2809339493070296
Cao Bằng,42,0.2622050193532276
Điện Biên,40,0.24971906605069297
Thái Nguyên,35,0.21850418279435635
Lai Châu,33,0.2060182294918217
Sơn La,19,0.11861655637407915
Lạng Sơn,14,0.08740167311774254
