scenario_id,split,method,k,precision,ndcg,status
HN-DEV-01,development,nearby,5,,,NOT GRADED
HN-DEV-01,development,nearby,10,,,NOT GRADED
HN-DEV-01,development,quality,5,,,NOT GRADED
HN-DEV-01,development,quality,10,,,NOT GRADED
HN-DEV-01,development,content,5,,,NOT GRADED
HN-DEV-01,development,content,10,,,NOT GRADED
HN-DEV-01,development,equal,5,,,NOT GRADED
HN-DEV-01,development,equal,10,,,NOT GRADED
HN-DEV-01,development,crisp,5,,,NOT GRADED
HN-DEV-01,development,crisp,10,,,NOT GRADED
HN-DEV-01,development,fuzzy,5,,,NOT GRADED
HN-DEV-01,development,fuzzy,10,,,NOT GRADED
HN-DEV-02,development,nearby,5,,,NOT GRADED
HN-DEV-02,development,nearby,10,,,NOT GRADED
HN-DEV-02,development,quality,5,,,NOT GRADED
HN-DEV-02,development,quality,10,,,NOT GRADED
HN-DEV-02,development,content,5,,,NOT GRADED
HN-DEV-02,development,content,10,,,NOT GRADED
HN-DEV-02,development,equal,5,,,NOT GRADED
HN-DEV-02,development,equal,10,,,NOT GRADED
HN-DEV-02,development,crisp,5,,,NOT GRADED
HN-DEV-02,development,crisp,10,,,NOT GRADED
HN-DEV-02,development,fuzzy,5,,,NOT GRADED
HN-DEV-02,development,fuzzy,10,,,NOT GRADED
HN-HOLD-01,holdout,nearby,5,,,NOT GRADED
HN-HOLD-01,holdout,nearby,10,,,NOT GRADED
HN-HOLD-01,holdout,quality,5,,,NOT GRADED
HN-HOLD-01,holdout,quality,10,,,NOT GRADED
HN-HOLD-01,holdout,content,5,,,NOT GRADED
HN-HOLD-01,holdout,content,10,,,NOT GRADED
HN-HOLD-01,holdout,equal,5,,,NOT GRADED
HN-HOLD-01,holdout,equal,10,,,NOT GRADED
HN-HOLD-01,holdout,crisp,5,,,NOT GRADED
HN-HOLD-01,holdout,crisp,10,,,NOT GRADED
HN-HOLD-01,holdout,fuzzy,5,,,NOT GRADED
HN-HOLD-01,holdout,fuzzy,10,,,NOT GRADED
HN-HOLD-02,holdout,nearby,5,,,NOT GRADED
HN-HOLD-02,holdout,nearby,10,,,NOT GRADED
HN-HOLD-02,holdout,quality,5,,,NOT GRADED
HN-HOLD-02,holdout,quality,10,,,NOT GRADED
HN-HOLD-02,holdout,content,5,,,NOT GRADED
HN-HOLD-02,holdout,content,10,,,NOT GRADED
HN-HOLD-02,holdout,equal,5,,,NOT GRADED
HN-HOLD-02,holdout,equal,10,,,NOT GRADED
HN-HOLD-02,holdout,crisp,5,,,NOT GRADED
HN-HOLD-02,holdout,crisp,10,,,NOT GRADED
HN-HOLD-02,holdout,fuzzy,5,,,NOT GRADED
HN-HOLD-02,holdout,fuzzy,10,,,NOT GRADED
HN-HOLD-03,holdout,nearby,5,,,NOT GRADED
HN-HOLD-03,holdout,nearby,10,,,NOT GRADED
HN-HOLD-03,holdout,quality,5,,,NOT GRADED
HN-HOLD-03,holdout,quality,10,,,NOT GRADED
HN-HOLD-03,holdout,content,5,,,NOT GRADED
HN-HOLD-03,holdout,content,10,,,NOT GRADED
HN-HOLD-03,holdout,equal,5,,,NOT GRADED
HN-HOLD-03,holdout,equal,10,,,NOT GRADED
HN-HOLD-03,holdout,crisp,5,,,NOT GRADED
HN-HOLD-03,holdout,crisp,10,,,NOT GRADED
HN-HOLD-03,holdout,fuzzy,5,,,NOT GRADED
HN-HOLD-03,holdout,fuzzy,10,,,NOT GRADED
HN-HOLD-04,holdout,nearby,5,,,NOT GRADED
HN-HOLD-04,holdout,nearby,10,,,NOT GRADED
HN-HOLD-04,holdout,quality,5,,,NOT GRADED
HN-HOLD-04,holdout,quality,10,,,NOT GRADED
HN-HOLD-04,holdout,content,5,,,NOT GRADED
HN-HOLD-04,holdout,content,10,,,NOT GRADED
HN-HOLD-04,holdout,equal,5,,,NOT GRADED
HN-HOLD-04,holdout,equal,10,,,NOT GRADED
HN-HOLD-04,holdout,crisp,5,,,NOT GRADED
HN-HOLD-04,holdout,crisp,10,,,NOT GRADED
HN-HOLD-04,holdout,fuzzy,5,,,NOT GRADED
HN-HOLD-04,holdout,fuzzy,10,,,NOT GRADED
HN-HOLD-05,holdout,nearby,5,,,NOT GRADED
HN-HOLD-05,holdout,nearby,10,,,NOT GRADED
HN-HOLD-05,holdout,quality,5,,,NOT GRADED
HN-HOLD-05,holdout,quality,10,,,NOT GRADED
HN-HOLD-05,holdout,content,5,,,NOT GRADED
HN-HOLD-05,holdout,content,10,,,NOT GRADED
HN-HOLD-05,holdout,equal,5,,,NOT GRADED
HN-HOLD-05,holdout,equal,10,,,NOT GRADED
HN-HOLD-05,holdout,crisp,5,,,NOT GRADED
HN-HOLD-05,holdout,crisp,10,,,NOT GRADED
HN-HOLD-05,holdout,fuzzy,5,,,NOT GRADED
HN-HOLD-05,holdout,fuzzy,10,,,NOT GRADED
HN-HOLD-06,holdout,nearby,5,,,NOT GRADED
HN-HOLD-06,holdout,nearby,10,,,NOT GRADED
HN-HOLD-06,holdout,quality,5,,,NOT GRADED
HN-HOLD-06,holdout,quality,10,,,NOT GRADED
HN-HOLD-06,holdout,content,5,,,NOT GRADED
HN-HOLD-06,holdout,content,10,,,NOT GRADED
HN-HOLD-06,holdout,equal,5,,,NOT GRADED
HN-HOLD-06,holdout,equal,10,,,NOT GRADED
HN-HOLD-06,holdout,crisp,5,,,NOT GRADED
HN-HOLD-06,holdout,crisp,10,,,NOT GRADED
HN-HOLD-06,holdout,fuzzy,5,,,NOT GRADED
HN-HOLD-06,holdout,fuzzy,10,,,NOT GRADED
DN-DEV-01,development,nearby,5,,,NOT GRADED
DN-DEV-01,development,nearby,10,,,NOT GRADED
DN-DEV-01,development,quality,5,,,NOT GRADED
DN-DEV-01,development,quality,10,,,NOT GRADED
DN-DEV-01,development,content,5,,,NOT GRADED
DN-DEV-01,development,content,10,,,NOT GRADED
DN-DEV-01,development,equal,5,,,NOT GRADED
DN-DEV-01,development,equal,10,,,NOT GRADED
DN-DEV-01,development,crisp,5,,,NOT GRADED
DN-DEV-01,development,crisp,10,,,NOT GRADED
DN-DEV-01,development,fuzzy,5,,,NOT GRADED
DN-DEV-01,development,fuzzy,10,,,NOT GRADED
DN-DEV-02,development,nearby,5,,,NOT GRADED
DN-DEV-02,development,nearby,10,,,NOT GRADED
DN-DEV-02,development,quality,5,,,NOT GRADED
DN-DEV-02,development,quality,10,,,NOT GRADED
DN-DEV-02,development,content,5,,,NOT GRADED
DN-DEV-02,development,content,10,,,NOT GRADED
DN-DEV-02,development,equal,5,,,NOT GRADED
DN-DEV-02,development,equal,10,,,NOT GRADED
DN-DEV-02,development,crisp,5,,,NOT GRADED
DN-DEV-02,development,crisp,10,,,NOT GRADED
DN-DEV-02,development,fuzzy,5,,,NOT GRADED
DN-DEV-02,development,fuzzy,10,,,NOT GRADED
DN-HOLD-01,holdout,nearby,5,,,NOT GRADED
DN-HOLD-01,holdout,nearby,10,,,NOT GRADED
DN-HOLD-01,holdout,quality,5,,,NOT GRADED
DN-HOLD-01,holdout,quality,10,,,NOT GRADED
DN-HOLD-01,holdout,content,5,,,NOT GRADED
DN-HOLD-01,holdout,content,10,,,NOT GRADED
DN-HOLD-01,holdout,equal,5,,,NOT GRADED
DN-HOLD-01,holdout,equal,10,,,NOT GRADED
DN-HOLD-01,holdout,crisp,5,,,NOT GRADED
DN-HOLD-01,holdout,crisp,10,,,NOT GRADED
DN-HOLD-01,holdout,fuzzy,5,,,NOT GRADED
DN-HOLD-01,holdout,fuzzy,10,,,NOT GRADED
DN-HOLD-02,holdout,nearby,5,,,NOT GRADED
DN-HOLD-02,holdout,nearby,10,,,NOT GRADED
DN-HOLD-02,holdout,quality,5,,,NOT GRADED
DN-HOLD-02,holdout,quality,10,,,NOT GRADED
DN-HOLD-02,holdout,content,5,,,NOT GRADED
DN-HOLD-02,holdout,content,10,,,NOT GRADED
DN-HOLD-02,holdout,equal,5,,,NOT GRADED
DN-HOLD-02,holdout,equal,10,,,NOT GRADED
DN-HOLD-02,holdout,crisp,5,,,NOT GRADED
DN-HOLD-02,holdout,crisp,10,,,NOT GRADED
DN-HOLD-02,holdout,fuzzy,5,,,NOT GRADED
DN-HOLD-02,holdout,fuzzy,10,,,NOT GRADED
DN-HOLD-03,holdout,nearby,5,,,NOT GRADED
DN-HOLD-03,holdout,nearby,10,,,NOT GRADED
DN-HOLD-03,holdout,quality,5,,,NOT GRADED
DN-HOLD-03,holdout,quality,10,,,NOT GRADED
DN-HOLD-03,holdout,content,5,,,NOT GRADED
DN-HOLD-03,holdout,content,10,,,NOT GRADED
DN-HOLD-03,holdout,equal,5,,,NOT GRADED
DN-HOLD-03,holdout,equal,10,,,NOT GRADED
DN-HOLD-03,holdout,crisp,5,,,NOT GRADED
DN-HOLD-03,holdout,crisp,10,,,NOT GRADED
DN-HOLD-03,holdout,fuzzy,5,,,NOT GRADED
DN-HOLD-03,holdout,fuzzy,10,,,NOT GRADED
DN-HOLD-04,holdout,nearby,5,,,NOT GRADED
DN-HOLD-04,holdout,nearby,10,,,NOT GRADED
DN-HOLD-04,holdout,quality,5,,,NOT GRADED
DN-HOLD-04,holdout,quality,10,,,NOT GRADED
DN-HOLD-04,holdout,content,5,,,NOT GRADED
DN-HOLD-04,holdout,content,10,,,NOT GRADED
DN-HOLD-04,holdout,equal,5,,,NOT GRADED
DN-HOLD-04,holdout,equal,10,,,NOT GRADED
DN-HOLD-04,holdout,crisp,5,,,NOT GRADED
DN-HOLD-04,holdout,crisp,10,,,NOT GRADED
DN-HOLD-04,holdout,fuzzy,5,,,NOT GRADED
DN-HOLD-04,holdout,fuzzy,10,,,NOT GRADED
DN-HOLD-05,holdout,nearby,5,,,NOT GRADED
DN-HOLD-05,holdout,nearby,10,,,NOT GRADED
DN-HOLD-05,holdout,quality,5,,,NOT GRADED
DN-HOLD-05,holdout,quality,10,,,NOT GRADED
DN-HOLD-05,holdout,content,5,,,NOT GRADED
DN-HOLD-05,holdout,content,10,,,NOT GRADED
DN-HOLD-05,holdout,equal,5,,,NOT GRADED
DN-HOLD-05,holdout,equal,10,,,NOT GRADED
DN-HOLD-05,holdout,crisp,5,,,NOT GRADED
DN-HOLD-05,holdout,crisp,10,,,NOT GRADED
DN-HOLD-05,holdout,fuzzy,5,,,NOT GRADED
DN-HOLD-05,holdout,fuzzy,10,,,NOT GRADED
DN-HOLD-06,holdout,nearby,5,,,NOT GRADED
DN-HOLD-06,holdout,nearby,10,,,NOT GRADED
DN-HOLD-06,holdout,quality,5,,,NOT GRADED
DN-HOLD-06,holdout,quality,10,,,NOT GRADED
DN-HOLD-06,holdout,content,5,,,NOT GRADED
DN-HOLD-06,holdout,content,10,,,NOT GRADED
DN-HOLD-06,holdout,equal,5,,,NOT GRADED
DN-HOLD-06,holdout,equal,10,,,NOT GRADED
DN-HOLD-06,holdout,crisp,5,,,NOT GRADED
DN-HOLD-06,holdout,crisp,10,,,NOT GRADED
DN-HOLD-06,holdout,fuzzy,5,,,NOT GRADED
DN-HOLD-06,holdout,fuzzy,10,,,NOT GRADED
