scenario_id,split,travel_metric,eligible_count,candidate_count,kind,value,overlap_at_10
HN-DEV-01,development,geographic_distance,720,97,preset,balanced,1.0
HN-DEV-01,development,geographic_distance,720,97,preset,interests,0.8
HN-DEV-01,development,geographic_distance,720,97,preset,nearby,0.8
HN-DEV-01,development,geographic_distance,720,97,preset,quality,0.8
HN-DEV-01,development,geographic_distance,720,97,travel_mode,geographic_distance,1.0
HN-DEV-01,development,geographic_distance,720,52,pool_size,20,0.8
HN-DEV-01,development,geographic_distance,720,97,pool_size,40,1.0
HN-DEV-01,development,geographic_distance,720,206,pool_size,80,0.9
HN-DEV-02,development,geographic_distance,721,109,preset,balanced,1.0
HN-DEV-02,development,geographic_distance,721,109,preset,interests,1.0
HN-DEV-02,development,geographic_distance,721,109,preset,nearby,0.7
HN-DEV-02,development,geographic_distance,721,109,preset,quality,0.8
HN-DEV-02,development,geographic_distance,721,109,travel_mode,geographic_distance,1.0
HN-DEV-02,development,geographic_distance,721,52,pool_size,20,1.0
HN-DEV-02,development,geographic_distance,721,109,pool_size,40,1.0
HN-DEV-02,development,geographic_distance,721,216,pool_size,80,1.0
HN-HOLD-01,holdout,geographic_distance,724,114,preset,balanced,1.0
HN-HOLD-01,holdout,geographic_distance,724,114,preset,interests,0.9
HN-HOLD-01,holdout,geographic_distance,724,114,preset,nearby,0.5
HN-HOLD-01,holdout,geographic_distance,724,114,preset,quality,0.9
HN-HOLD-01,holdout,geographic_distance,724,114,travel_mode,geographic_distance,1.0
HN-HOLD-01,holdout,geographic_distance,724,56,pool_size,20,0.9
HN-HOLD-01,holdout,geographic_distance,724,114,pool_size,40,1.0
HN-HOLD-01,holdout,geographic_distance,724,221,pool_size,80,0.9
HN-HOLD-02,holdout,geographic_distance,721,98,preset,balanced,1.0
HN-HOLD-02,holdout,geographic_distance,721,98,preset,interests,1.0
HN-HOLD-02,holdout,geographic_distance,721,98,preset,nearby,0.8
HN-HOLD-02,holdout,geographic_distance,721,98,preset,quality,0.9
HN-HOLD-02,holdout,geographic_distance,721,98,travel_mode,geographic_distance,1.0
HN-HOLD-02,holdout,geographic_distance,721,51,pool_size,20,1.0
HN-HOLD-02,holdout,geographic_distance,721,98,pool_size,40,1.0
HN-HOLD-02,holdout,geographic_distance,721,203,pool_size,80,0.9
HN-HOLD-03,holdout,geographic_distance,723,88,preset,balanced,1.0
HN-HOLD-03,holdout,geographic_distance,723,88,preset,interests,0.8
HN-HOLD-03,holdout,geographic_distance,723,88,preset,nearby,0.8
HN-HOLD-03,holdout,geographic_distance,723,88,preset,quality,0.6
HN-HOLD-03,holdout,geographic_distance,723,88,travel_mode,geographic_distance,1.0
HN-HOLD-03,holdout,geographic_distance,723,51,pool_size,20,0.9
HN-HOLD-03,holdout,geographic_distance,723,88,pool_size,40,1.0
HN-HOLD-03,holdout,geographic_distance,723,187,pool_size,80,0.8
HN-HOLD-04,holdout,geographic_distance,728,109,preset,balanced,1.0
HN-HOLD-04,holdout,geographic_distance,728,109,preset,interests,1.0
HN-HOLD-04,holdout,geographic_distance,728,109,preset,nearby,0.9
HN-HOLD-04,holdout,geographic_distance,728,109,preset,quality,0.8
HN-HOLD-04,holdout,geographic_distance,728,109,travel_mode,geographic_distance,1.0
HN-HOLD-04,holdout,geographic_distance,728,56,pool_size,20,0.9
HN-HOLD-04,holdout,geographic_distance,728,109,pool_size,40,1.0
HN-HOLD-04,holdout,geographic_distance,728,218,pool_size,80,1.0
HN-HOLD-05,holdout,geographic_distance,720,96,preset,balanced,1.0
HN-HOLD-05,holdout,geographic_distance,720,96,preset,interests,0.9
HN-HOLD-05,holdout,geographic_distance,720,96,preset,nearby,0.9
HN-HOLD-05,holdout,geographic_distance,720,96,preset,quality,1.0
HN-HOLD-05,holdout,geographic_distance,720,96,travel_mode,geographic_distance,1.0
HN-HOLD-05,holdout,geographic_distance,720,53,pool_size,20,1.0
HN-HOLD-05,holdout,geographic_distance,720,96,pool_size,40,1.0
HN-HOLD-05,holdout,geographic_distance,720,206,pool_size,80,1.0
HN-HOLD-06,holdout,geographic_distance,712,105,preset,balanced,1.0
HN-HOLD-06,holdout,geographic_distance,712,105,preset,interests,1.0
HN-HOLD-06,holdout,geographic_distance,712,105,preset,nearby,1.0
HN-HOLD-06,holdout,geographic_distance,712,105,preset,quality,1.0
HN-HOLD-06,holdout,geographic_distance,712,105,travel_mode,geographic_distance,1.0
HN-HOLD-06,holdout,geographic_distance,712,58,pool_size,20,1.0
HN-HOLD-06,holdout,geographic_distance,712,105,pool_size,40,1.0
HN-HOLD-06,holdout,geographic_distance,712,183,pool_size,80,1.0
DN-DEV-01,development,geographic_distance,548,103,preset,balanced,1.0
DN-DEV-01,development,geographic_distance,548,103,preset,interests,1.0
DN-DEV-01,development,geographic_distance,548,103,preset,nearby,0.8
DN-DEV-01,development,geographic_distance,548,103,preset,quality,0.8
DN-DEV-01,development,geographic_distance,548,103,travel_mode,geographic_distance,1.0
DN-DEV-01,development,geographic_distance,548,59,pool_size,20,0.9
DN-DEV-01,development,geographic_distance,548,103,pool_size,40,1.0
DN-DEV-01,development,geographic_distance,548,172,pool_size,80,1.0
DN-DEV-02,development,geographic_distance,216,104,preset,balanced,1.0
DN-DEV-02,development,geographic_distance,216,104,preset,interests,0.9
DN-DEV-02,development,geographic_distance,216,104,preset,nearby,0.8
DN-DEV-02,development,geographic_distance,216,104,preset,quality,0.6
DN-DEV-02,development,geographic_distance,216,104,travel_mode,geographic_distance,1.0
DN-DEV-02,development,geographic_distance,216,54,pool_size,20,0.9
DN-DEV-02,development,geographic_distance,216,104,pool_size,40,1.0
DN-DEV-02,development,geographic_distance,216,170,pool_size,80,1.0
DN-HOLD-01,holdout,geographic_distance,544,98,preset,balanced,1.0
DN-HOLD-01,holdout,geographic_distance,544,98,preset,interests,1.0
DN-HOLD-01,holdout,geographic_distance,544,98,preset,nearby,0.7
DN-HOLD-01,holdout,geographic_distance,544,98,preset,quality,1.0
DN-HOLD-01,holdout,geographic_distance,544,98,travel_mode,geographic_distance,1.0
DN-HOLD-01,holdout,geographic_distance,544,53,pool_size,20,1.0
DN-HOLD-01,holdout,geographic_distance,544,98,pool_size,40,1.0
DN-HOLD-01,holdout,geographic_distance,544,162,pool_size,80,1.0
DN-HOLD-02,holdout,geographic_distance,363,105,preset,balanced,1.0
DN-HOLD-02,holdout,geographic_distance,363,105,preset,interests,0.9
DN-HOLD-02,holdout,geographic_distance,363,105,preset,nearby,0.7
DN-HOLD-02,holdout,geographic_distance,363,105,preset,quality,0.8
DN-HOLD-02,holdout,geographic_distance,363,105,travel_mode,geographic_distance,1.0
DN-HOLD-02,holdout,geographic_distance,363,59,pool_size,20,0.9
DN-HOLD-02,holdout,geographic_distance,363,105,pool_size,40,1.0
DN-HOLD-02,holdout,geographic_distance,363,184,pool_size,80,1.0
DN-HOLD-03,holdout,geographic_distance,542,111,preset,balanced,1.0
DN-HOLD-03,holdout,geographic_distance,542,111,preset,interests,0.9
DN-HOLD-03,holdout,geographic_distance,542,111,preset,nearby,0.7
DN-HOLD-03,holdout,geographic_distance,542,111,preset,quality,0.6
DN-HOLD-03,holdout,geographic_distance,542,111,travel_mode,geographic_distance,1.0
DN-HOLD-03,holdout,geographic_distance,542,59,pool_size,20,0.8
DN-HOLD-03,holdout,geographic_distance,542,111,pool_size,40,1.0
DN-HOLD-03,holdout,geographic_distance,542,188,pool_size,80,1.0
DN-HOLD-04,holdout,geographic_distance,411,95,preset,balanced,1.0
DN-HOLD-04,holdout,geographic_distance,411,95,preset,interests,0.9
DN-HOLD-04,holdout,geographic_distance,411,95,preset,nearby,0.9
DN-HOLD-04,holdout,geographic_distance,411,95,preset,quality,0.8
DN-HOLD-04,holdout,geographic_distance,411,95,travel_mode,geographic_distance,1.0
DN-HOLD-04,holdout,geographic_distance,411,54,pool_size,20,0.9
DN-HOLD-04,holdout,geographic_distance,411,95,pool_size,40,1.0
DN-HOLD-04,holdout,geographic_distance,411,160,pool_size,80,0.9
DN-HOLD-05,holdout,geographic_distance,567,106,preset,balanced,1.0
DN-HOLD-05,holdout,geographic_distance,567,106,preset,interests,0.7
DN-HOLD-05,holdout,geographic_distance,567,106,preset,nearby,0.8
DN-HOLD-05,holdout,geographic_distance,567,106,preset,quality,0.9
DN-HOLD-05,holdout,geographic_distance,567,106,travel_mode,geographic_distance,1.0
DN-HOLD-05,holdout,geographic_distance,567,57,pool_size,20,0.6
DN-HOLD-05,holdout,geographic_distance,567,106,pool_size,40,1.0
DN-HOLD-05,holdout,geographic_distance,567,183,pool_size,80,0.9
DN-HOLD-06,holdout,geographic_distance,363,114,preset,balanced,1.0
DN-HOLD-06,holdout,geographic_distance,363,114,preset,interests,0.9
DN-HOLD-06,holdout,geographic_distance,363,114,preset,nearby,0.3
DN-HOLD-06,holdout,geographic_distance,363,114,preset,quality,0.9
DN-HOLD-06,holdout,geographic_distance,363,114,travel_mode,geographic_distance,1.0
DN-HOLD-06,holdout,geographic_distance,363,57,pool_size,20,0.4
DN-HOLD-06,holdout,geographic_distance,363,114,pool_size,40,1.0
DN-HOLD-06,holdout,geographic_distance,363,206,pool_size,80,0.7
