poi_id,name,location,category,latitude,longitude,hours_raw,hours_status,data_status,source_url
osm:node:1000087403,Nguyen Art Gallery,Hà Nội,gallery,21.0285199,105.8364926,,unknown,usable,https://www.openstreetmap.org/node/1000087403
osm:node:10004148417,Tuyet diem salins,Đắk Lắk,attraction,13.5741837,109.232488,,unknown,usable,https://www.openstreetmap.org/node/10004148417
osm:node:10004148517,Dong muoi song Cau salins,Đắk Lắk,attraction,13.4902487,109.2478759,,unknown,usable,https://www.openstreetmap.org/node/10004148517
osm:node:10009157772,Thinh Long Phu Yen Solar Farm,Đắk Lắk,park,13.0523897,109.0922307,,unknown,usable,https://www.openstreetmap.org/node/10009157772
osm:node:10009461845,Hoa Hoi Solar farm,Đắk Lắk,park,13.0697749,109.0997526,,unknown,usable,https://www.openstreetmap.org/node/10009461845
osm:node:1001114513,Bảo Tàng Địa Chất,Hồ Chí Minh,museum,10.7849957,106.7076753,,unknown,usable,https://www.openstreetmap.org/node/1001114513
osm:node:10065432663,Hang đá Đức Mẹ,Hồ Chí Minh,temple,10.7813554,106.6813776,,unknown,usable,https://www.openstreetmap.org/node/10065432663
osm:node:10091771745,Nguyễn Trãi,Hà Nội,historic,20.9727763,105.7815108,,unknown,usable,https://www.openstreetmap.org/node/10091771745
osm:node:10133138818,Plage de da nhai,,attraction,17.655376,106.5188128,,unknown,needs_review,https://www.openstreetmap.org/node/10133138818
osm:node:10133150917,Ly hoa site pittoresque,Quảng Trị,attraction,17.6507371,106.5165929,,unknown,usable,https://www.openstreetmap.org/node/10133150917
osm:node:10154412164,Fantasy Park,Đà Nẵng,theme_park,15.9968339,107.9888036,08:30-18:00,known,usable,https://www.openstreetmap.org/node/10154412164
osm:node:1016630582,Vịnh Mốc Tunnels Museum,,museum,17.07467,107.1127984,,unknown,needs_review,https://www.openstreetmap.org/node/1016630582
osm:node:1016631030,Cột cờ Cầu Hiền Lương,Quảng Trị,attraction,17.0056523,107.0502157,,unknown,usable,https://www.openstreetmap.org/node/1016631030
osm:node:1016631101,Bảo tàng lịch sử Cầu Hiền Lương,Quảng Trị,museum,17.0060282,107.0513663,,unknown,usable,https://www.openstreetmap.org/node/1016631101
osm:node:10167435017,Thiền viện Phước Sơn,Đồng Nai,temple,10.9342502,106.9459058,,unknown,usable,https://www.openstreetmap.org/node/10167435017
osm:node:10171278941,Chùa Kim Bửu,Đà Nẵng,temple,15.8702083,108.3159055,,unknown,usable,https://www.openstreetmap.org/node/10171278941
osm:node:10175727317,Bho hoong village ethnique,Đà Nẵng,attraction,15.963165,107.7623158,,unknown,usable,https://www.openstreetmap.org/node/10175727317
osm:node:10178512817,Cột Cờ Chiến Thắng,Bắc Ninh,historic,21.0675735,106.2215635,,unknown,usable,https://www.openstreetmap.org/node/10178512817
osm:node:10178549417,Đình Hương Triện,Bắc Ninh,temple,21.0691552,106.222292,,unknown,usable,https://www.openstreetmap.org/node/10178549417
osm:node:10220706854,Chua bán long pagoda,Ninh Bình,temple,20.2535489,105.9214868,,unknown,usable,https://www.openstreetmap.org/node/10220706854
osm:node:10220706862,Lotus Lake Board Walk,Ninh Bình,attraction,20.2315857,105.935904,,unknown,usable,https://www.openstreetmap.org/node/10220706862
osm:node:10221070956,Quang Phúc,Ninh Bình,temple,20.1394544,106.0305004,,unknown,usable,https://www.openstreetmap.org/node/10221070956
osm:node:10223608917,snorkeling spot,,viewpoint,8.7321607,106.6186088,,unknown,needs_review,https://www.openstreetmap.org/node/10223608917
osm:node:10239659651,Hang Ken Wet,Quảng Trị,attraction,17.7726202,106.0851207,,unknown,usable,https://www.openstreetmap.org/node/10239659651
osm:node:10239678722,Hang Sun Oxalis,Quảng Trị,attraction,17.7676825,106.076979,,unknown,usable,https://www.openstreetmap.org/node/10239678722
osm:node:10239685067,Hang Ken Dry,Quảng Trị,attraction,17.7715723,106.0885353,,unknown,usable,https://www.openstreetmap.org/node/10239685067
osm:node:10259377070,Phòng Tranh,Hồ Chí Minh,gallery,10.8101315,106.7312075,,unknown,usable,https://www.openstreetmap.org/node/10259377070
osm:node:10272437963,Công Viên Vĩnh Hằng Huế,Đà Nẵng,temple,15.5464445,108.5201415,,unknown,usable,https://www.openstreetmap.org/node/10272437963
osm:node:10277216343,Tượng đài Chiến thắng Bạc Liêu,Cà Mau,historic,9.3124815,105.719933,,unknown,usable,https://www.openstreetmap.org/node/10277216343
osm:node:10277781610,Phố minh,Khánh Hoà,temple,11.4200359,108.8876343,,unknown,usable,https://www.openstreetmap.org/node/10277781610
osm:node:10279641740,Vải sớm Phúc Hòa,Bắc Ninh,park,21.4335123,106.15587,,unknown,usable,https://www.openstreetmap.org/node/10279641740
osm:node:10291730841,Ancient Artillary Battlefield,Hồ Chí Minh,attraction,10.3286782,107.0826765,,unknown,usable,https://www.openstreetmap.org/node/10291730841
osm:node:10311880271,Vòng xoay Bình Nguyên,Vĩnh Long,historic,10.2485042,106.3556591,,unknown,usable,https://www.openstreetmap.org/node/10311880271
osm:node:10311880272,Vòng xoay Tân Thành,Vĩnh Long,historic,10.2588594,106.3613989,,unknown,usable,https://www.openstreetmap.org/node/10311880272
osm:node:10311880273,Vòng xoay Phú Khương,Vĩnh Long,historic,10.2530182,106.3712868,,unknown,usable,https://www.openstreetmap.org/node/10311880273
osm:node:10311880274,Vòng xoay Đông Tây,Vĩnh Long,historic,10.2475699,106.3743826,,unknown,usable,https://www.openstreetmap.org/node/10311880274
osm:node:10311880275,Vòng xoay An Hội,Vĩnh Long,historic,10.2361284,106.3763609,,unknown,usable,https://www.openstreetmap.org/node/10311880275
osm:node:10311880276,Vòng xoay Ngã Năm,Vĩnh Long,historic,10.2370372,106.3691562,,unknown,usable,https://www.openstreetmap.org/node/10311880276
osm:node:10311880277,Cái Cối,Vĩnh Long,historic,10.2288669,106.3772754,,unknown,usable,https://www.openstreetmap.org/node/10311880277
osm:node:10311880278,Vòng xoay Phú Hưng,Vĩnh Long,historic,10.2511332,106.398513,,unknown,usable,https://www.openstreetmap.org/node/10311880278
osm:node:10314270710,Beautiful View,Tuyên Quang,viewpoint,22.9784303,105.2428805,,unknown,usable,https://www.openstreetmap.org/node/10314270710
osm:node:10314905409,Temple dinh lac giao,Đắk Lắk,attraction,12.6823971,108.0425375,,unknown,usable,https://www.openstreetmap.org/node/10314905409
osm:node:1036552571,Đèo Hải Vân,Đà Nẵng,attraction,16.1874495,108.1307217,,unknown,usable,https://www.openstreetmap.org/node/1036552571
osm:node:1037736905,Group E,Đà Nẵng,historic,15.764466,108.1251852,,unknown,excluded,https://www.openstreetmap.org/node/1037736905
osm:node:1037737078,Group G,Đà Nẵng,historic,15.7633495,108.1253712,,unknown,excluded,https://www.openstreetmap.org/node/1037737078
osm:node:1037737131,Group H,Đà Nẵng,historic,15.764688,108.1229102,,unknown,excluded,https://www.openstreetmap.org/node/1037737131
osm:node:1037737163,Group B,Đà Nẵng,historic,15.7630501,108.1240223,,unknown,excluded,https://www.openstreetmap.org/node/1037737163
osm:node:1037737181,Group A,Đà Nẵng,historic,15.7625907,108.1251452,,unknown,excluded,https://www.openstreetmap.org/node/1037737181
osm:node:1037737215,Group F,Đà Nẵng,historic,15.7648719,108.1252573,,unknown,excluded,https://www.openstreetmap.org/node/1037737215
osm:node:1037737395,Group C,Đà Nẵng,historic,15.7632766,108.1241227,,unknown,excluded,https://www.openstreetmap.org/node/1037737395
osm:node:10538442209,Scenic Viewpoint,Ninh Bình,viewpoint,20.2278025,105.9255819,,unknown,usable,https://www.openstreetmap.org/node/10538442209
osm:node:10538947209,Quan ô loan estuaire,Đắk Lắk,attraction,13.2843278,109.2553098,,unknown,usable,https://www.openstreetmap.org/node/10538947209
osm:node:10548902010,càphe Võng - gió mát,An Giang,attraction,10.5208561,105.3148569,,unknown,usable,https://www.openstreetmap.org/node/10548902010
osm:node:10565072143,Điểm Nhìn Cây Cô Đơn,Hà Nội,viewpoint,21.3138919,105.7832552,,unknown,usable,https://www.openstreetmap.org/node/10565072143
osm:node:10574508512,Thánh Thất Hữu Định,Vĩnh Long,temple,10.2583261,106.4250844,,unknown,usable,https://www.openstreetmap.org/node/10574508512
osm:node:10574519041,Đình Đại Định,Vĩnh Long,temple,10.2597071,106.4262113,,unknown,usable,https://www.openstreetmap.org/node/10574519041
osm:node:10574527141,Trường Mầm Non Đại Định,Vĩnh Long,park,10.25913,106.4259577,,unknown,usable,https://www.openstreetmap.org/node/10574527141
osm:node:10574535587,Nhà Văn Hóa Đại Định,Vĩnh Long,park,10.2587893,106.4257767,,unknown,usable,https://www.openstreetmap.org/node/10574535587
osm:node:10574606584,Đền Thờ Liệt Sĩ xã Hữu Định,Vĩnh Long,historic,10.2703684,106.3870286,,unknown,usable,https://www.openstreetmap.org/node/10574606584
osm:node:10574657689,Vòng Xoay Hữu Định,Vĩnh Long,historic,10.2647905,106.4066882,,unknown,usable,https://www.openstreetmap.org/node/10574657689
osm:node:10579241729,Bia Chiến Thắng,Vĩnh Long,historic,10.264084,106.4091231,,unknown,usable,https://www.openstreetmap.org/node/10579241729
osm:node:10603622205,Pont main,Đà Nẵng,attraction,16.0520775,108.2156357,,unknown,usable,https://www.openstreetmap.org/node/10603622205
osm:node:10605991202,Tượng đài bờ Bắc sông Thạch Hãn,Quảng Trị,historic,16.7558994,107.1817984,,unknown,usable,https://www.openstreetmap.org/node/10605991202
osm:node:10608268024,Tượng đài anh hùng Trương Định,Đồng Tháp,historic,10.3591112,106.6749749,,unknown,usable,https://www.openstreetmap.org/node/10608268024
osm:node:10610602506,debut  balade moto,Quảng Trị,attraction,17.6305645,106.3595994,,unknown,usable,https://www.openstreetmap.org/node/10610602506
osm:node:10610632105,début balade moto,Quảng Trị,attraction,17.6273844,106.3528085,,unknown,usable,https://www.openstreetmap.org/node/10610632105
osm:node:10635540903,G. X. Ti Tốp,,historic,20.8590207,107.0809085,,unknown,needs_review,https://www.openstreetmap.org/node/10635540903
osm:node:10647941388,Top Hill,Hà Nội,viewpoint,21.3446622,105.7978888,,unknown,usable,https://www.openstreetmap.org/node/10647941388
osm:node:10686251942,Khu di tích Hố Lang,Hồ Chí Minh,park,10.9571087,106.7493053,,unknown,usable,https://www.openstreetmap.org/node/10686251942
osm:node:10707281480,Tượng Nguyên Phi Ỷ Lan,Hà Nội,historic,21.000473,105.9680689,,unknown,usable,https://www.openstreetmap.org/node/10707281480
osm:node:10707281481,Chùa Linh Nhân Tư Phúc,Hà Nội,temple,21.0007507,105.968795,,unknown,usable,https://www.openstreetmap.org/node/10707281481
osm:node:10707281482,Đền Bà Tấm,Hà Nội,temple,21.000909,105.968635,,unknown,usable,https://www.openstreetmap.org/node/10707281482
osm:node:10707281483,Điện Mẫu,Hà Nội,temple,21.0005975,105.9689499,,unknown,usable,https://www.openstreetmap.org/node/10707281483
osm:node:10707300738,Khu khảo cổ,Hà Nội,historic,21.000814,105.9688638,,unknown,usable,https://www.openstreetmap.org/node/10707300738
osm:node:10709724107,Làng đá mỹ nghệ Non Nước,Đà Nẵng,attraction,16.0009523,108.2666434,,unknown,usable,https://www.openstreetmap.org/node/10709724107
osm:node:10709724108,Làng đúc đồng Phước Kiều,Đà Nẵng,attraction,15.8700868,108.2613646,,unknown,usable,https://www.openstreetmap.org/node/10709724108
osm:node:10709724109,Làng gốm Phù Lãng,Bắc Ninh,attraction,21.1498628,106.2554963,,unknown,usable,https://www.openstreetmap.org/node/10709724109
osm:node:10709724110,Làng gốm Thổ Hà,Bắc Ninh,attraction,21.2047117,106.0406271,,unknown,usable,https://www.openstreetmap.org/node/10709724110
osm:node:10709724111,Làng tết cỏ tế Lưu Thượng,Hà Nội,attraction,20.7655951,105.8125742,,unknown,usable,https://www.openstreetmap.org/node/10709724111
osm:node:10709724112,Làng giang Phù Yên,Hà Nội,attraction,20.9059837,105.6465455,,unknown,usable,https://www.openstreetmap.org/node/10709724112
osm:node:10709724113,Làng đàn nông cụ Hưng Học,Quảng Ninh,attraction,20.913862,106.7961765,,unknown,usable,https://www.openstreetmap.org/node/10709724113
osm:node:10709724408,Làng nghề dát vàng Kiêu Kỵ,Hà Nội,attraction,20.9827715,105.953726,,unknown,usable,https://www.openstreetmap.org/node/10709724408
osm:node:10709724409,Làng gò đúc đồng Đại Bái,Bắc Ninh,attraction,21.0453063,106.1449062,,unknown,usable,https://www.openstreetmap.org/node/10709724409
osm:node:10709724410,Làng lụa La Phù,Hà Nội,attraction,20.9783903,105.7317022,,unknown,usable,https://www.openstreetmap.org/node/10709724410
osm:node:10709724411,Làng tiện gỗ Nhị Khê,Hà Nội,attraction,20.89621,105.8379955,,unknown,usable,https://www.openstreetmap.org/node/10709724411
osm:node:10709724412,Làng khảm trái Thôn Thượng,Hà Nội,attraction,20.7421626,105.8641791,,unknown,usable,https://www.openstreetmap.org/node/10709724412
osm:node:10709724413,Làng khảm trai Thôn Trung,Hà Nội,attraction,20.7387677,105.8663633,,unknown,usable,https://www.openstreetmap.org/node/10709724413
osm:node:10709724414,Đình làng Tự Nhiên,Hà Nội,attraction,20.8634559,105.9185044,,unknown,usable,https://www.openstreetmap.org/node/10709724414
osm:node:10709724415,Đền Đại Lộ,Hà Nội,attraction,20.9090748,105.8926442,,unknown,usable,https://www.openstreetmap.org/node/10709724415
osm:node:10709724416,Làng nón Chuông,Hà Nội,attraction,20.8319703,105.760651,,unknown,usable,https://www.openstreetmap.org/node/10709724416
osm:node:10709724417,Làng quạt và lồng chim Can Hoạch,Hà Nội,attraction,20.8104603,105.7782026,,unknown,usable,https://www.openstreetmap.org/node/10709724417
osm:node:10709724418,Làng tre Yên Kiện,Hà Nội,attraction,20.9279079,105.633816,,unknown,usable,https://www.openstreetmap.org/node/10709724418
osm:node:10709724419,khu di tích lịch sử Lam Kinh,Thanh Hoá,attraction,19.9275606,105.4035142,,unknown,usable,https://www.openstreetmap.org/node/10709724419
osm:node:10709724420,Làng mắm Cửa Khe,Đà Nẵng,attraction,15.8088145,108.4096566,,unknown,usable,https://www.openstreetmap.org/node/10709724420
osm:node:10709724421,Làng mộc Áng Phao,Hà Nội,attraction,20.8043906,105.7670815,,unknown,usable,https://www.openstreetmap.org/node/10709724421
osm:node:10709738005,Làng chiếu Cẩm Nê,Đà Nẵng,attraction,15.9867322,108.1772823,,unknown,usable,https://www.openstreetmap.org/node/10709738005
