scenario_id,split,location,date,interests,categories,origin_latitude,origin_longitude,radius_km,poi_id,name,category,description,distance_km,source_url,relevance_0_3,notes
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:409390951,Trung tâm Lưu trữ và Triển lãm Ảnh Nghệ thuật Việt Nam,museum,,7.16,https://www.openstreetmap.org/way/409390951,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:1220299340,Conifer Bốn Mùa – Four Seasons,cafe,,0.338,https://www.openstreetmap.org/way/1220299340,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:12876453886,Đền Thiên Vương Thịnh,temple,"Điểm văn hóa tâm linh tại 20.992428, 105.908065, được phân loại từ dữ liệu OpenStreetMap/HOTOSM (amenity=place_of_worship).",6.881,https://www.openstreetmap.org/node/12876453886,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:696913691,Hoàng thành Thăng Long,historic,,1.787,https://www.openstreetmap.org/way/696913691,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:700840711,Đền Bạch Mã,temple,,0.891,https://www.openstreetmap.org/way/700840711,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:13352652760,Đình Thuận Quang,temple,"Điểm văn hóa tâm linh tại Ngõ 533 Nguyễn Bình, Hà Nội, được phân loại từ dữ liệu OpenStreetMap/HOTOSM (amenity=place_of_worship).",12.49,https://www.openstreetmap.org/node/13352652760,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:697326496,Chùa Một Cột,temple,"Điểm văn hóa tâm linh tại 21.067416, 106.764553, được phân loại từ dữ liệu OpenStreetMap/HOTOSM (amenity=place_of_worship).",2.288,https://www.openstreetmap.org/way/697326496,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:11652527569,BANH Mi NHE,restaurant,,0.315,https://www.openstreetmap.org/node/11652527569,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:6602496036,Pho Hùng,restaurant,,0.363,https://www.openstreetmap.org/node/6602496036,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:37625751,Lăng Chủ tịch Hồ Chí Minh,historic,"Lăng Chủ tịch Hồ Chí Minh (Hà Nội) là nơi lưu giữ thi hài của Chủ tịch Hồ Chí Minh, trở thành biểu tượng của lòng tôn kính và biết ơn của nhân dân Việt Nam.",2.225,https://www.openstreetmap.org/way/37625751,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:340128580,Di tích Nhà tù Hỏa Lò,museum,,0.868,https://www.openstreetmap.org/way/340128580,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:220302249,Chùa Trấn Quốc,temple,,2.809,https://www.openstreetmap.org/way/220302249,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:3794435557,Đình Làng Quảng Bá,temple,"Điểm văn hóa tâm linh tại 21.066868, 105.823032, được phân loại từ dữ liệu OpenStreetMap/HOTOSM (amenity=place_of_worship).",5.354,https://www.openstreetmap.org/node/3794435557,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:10855443206,Chùa Tranh Khúc,temple,"Điểm văn hóa tâm linh tại 20.924956, 105.888766, được phân loại từ dữ liệu OpenStreetMap/HOTOSM (amenity=place_of_worship).",12.06,https://www.openstreetmap.org/node/10855443206,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:4217845890,Cà Phê AnAn,cafe,,0.39,https://www.openstreetmap.org/node/4217845890,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:704147278,Bảo tàng Phụ nữ Việt Nam,museum,,0.633,https://www.openstreetmap.org/way/704147278,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:879841441,Vườn hoa Diên Hồng,park,,0.291,https://www.openstreetmap.org/way/879841441,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:37629143,Bảo tàng Hồ Chí Minh,museum,,2.374,https://www.openstreetmap.org/way/37629143,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:10179892274,The East,restaurant,,1.054,https://www.openstreetmap.org/node/10179892274,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:7162750926,Halo Coffee & Juices,cafe,,0.313,https://www.openstreetmap.org/node/7162750926,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:178995262,Đền Ngọc Sơn,temple,,0.312,https://www.openstreetmap.org/way/178995262,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:5340817221,McDonald's,restaurant,,0.366,https://www.openstreetmap.org/node/5340817221,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:28912942,Nhà thờ Lớn Hà Nội,temple,,0.555,https://www.openstreetmap.org/way/28912942,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:339936730,Bảo tàng Dân tộc học Việt Nam,museum,"Bảo tàng tại Đường Nguyễn Văn Huyên, Hà Nội, được phân loại từ dữ liệu OpenStreetMap/HOTOSM (tourism=museum).",5.888,https://www.openstreetmap.org/way/339936730,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:node:10715935205,ACID8 Speciality Coffee,cafe,,1.15,https://www.openstreetmap.org/node/10715935205,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:1019050229,Bảo tàng Binh chủng Hóa học,museum,,7.131,https://www.openstreetmap.org/way/1019050229,,
HN-DEV-01,development,Hà Nội,2026-09-20,"lịch sử, văn hóa","historic, museum",21.0285,105.8542,15.0,osm:way:1148571536,Bảo tàng Lịch sử Quân sự Việt Nam,museum,,10.497,https://www.openstreetmap.org/way/1148571536,,
