category,before,after,delta,valid_image,rating_pair,hours,recommendation_eligible
attraction,49,63,14,24,21,16,25
beach,16,33,17,23,23,8,21
bridge,0,5,5,5,5,5,5
cafe,1106,1106,0,5,5,139,147
campground,0,2,2,2,2,0,2
craft_village,5,5,0,3,3,2,3
gallery,4,4,0,0,0,1,1
historic,25,26,1,3,2,1,3
market,51,58,7,24,13,11,15
museum,21,25,4,14,13,14,14
nature_area,17,19,2,4,4,1,4
old_quarter,1,1,0,1,1,1,1
park,36,51,15,17,17,11,17
performance_venue,1,1,0,0,0,0,0
playground,0,2,2,2,2,2,2
restaurant,1084,1084,0,5,4,229,272
temple,116,116,0,15,7,7,11
theme_park,5,6,1,3,3,4,5
trailhead,0,1,1,1,1,1,1
viewpoint,7,9,2,2,2,2,2
walking_street,0,3,3,3,3,1,3
water_park,0,2,2,2,2,2,2
waterfall,0,2,2,2,2,1,2
zoo,1,1,0,0,0,0,0
