access_id,poi_id,latitude,longitude,kind,access_minutes,verified,method,observation_id
access:5e772c4cf0ff61761dda1e21,osm:node:1000087403,21.0285199,105.8364926,poi_coordinate,10,0,osm_point,obs:0ca7b490a18b170a1ae7132c
access:80a16a4b48cdf9be72449a9d,osm:node:10004148417,13.5741837,109.232488,poi_coordinate,10,0,osm_point,obs:7fe3bbdcd736688f782c88e9
access:5a587534a20c967c2a141123,osm:node:10004148517,13.4902487,109.2478759,poi_coordinate,10,0,osm_point,obs:e4eedd528e0a4379c86d42bc
access:50504b729c0c65fdd385e446,osm:node:10009157772,13.0523897,109.0922307,poi_coordinate,10,0,osm_point,obs:5c61686ca46236fb53e3db1f
access:5459e8b46514d71e8f493017,osm:node:10009461845,13.0697749,109.0997526,poi_coordinate,10,0,osm_point,obs:50f6a467964dae7bc377befd
access:e6c8fb538f81d6d7db89abcd,osm:node:1001114513,10.7849957,106.7076753,poi_coordinate,10,0,osm_point,obs:d352b5e9814a663dea5b7ee0
access:debf77454a1a3450927eb8ed,osm:node:10065432663,10.7813554,106.6813776,poi_coordinate,10,0,osm_point,obs:fb3e3652da62fa85152be053
access:bc384098e54d95b99b0a54e5,osm:node:10091771745,20.9727763,105.7815108,poi_coordinate,10,0,osm_point,obs:52c319d4a4cdb465f189a483
access:4484ece3ffa693eb5477c00a,osm:node:10133138818,17.655376,106.5188128,poi_coordinate,10,0,osm_point,obs:07e19ee212c771bbae5724d8
access:63696c72490046b520d59814,osm:node:10133150917,17.6507371,106.5165929,poi_coordinate,10,0,osm_point,obs:5f950ed673e2aa21f0c6b0b6
access:2775cf8f8d605a8994902247,osm:node:10154412164,15.9968339,107.9888036,poi_coordinate,10,0,osm_point,obs:9842f73b0ebd431cdcee3111
access:70e2943c4c8a26d1d0dce29b,osm:node:1016630582,17.07467,107.1127984,poi_coordinate,10,0,osm_point,obs:570c12fefc4369a936db9ad8
access:fa35d48cac57b0cd844863e8,osm:node:1016631030,17.0056523,107.0502157,poi_coordinate,10,0,osm_point,obs:a8b955fc29b12213b1054e21
access:89e3e6150aadbd5d8f3395a5,osm:node:1016631101,17.0060282,107.0513663,poi_coordinate,10,0,osm_point,obs:5acb04d3046b50c72cbcda77
access:b5508b1a41192bd7f2b99aac,osm:node:10167435017,10.9342502,106.9459058,poi_coordinate,10,0,osm_point,obs:5284971c0fc1ae66581caf4a
access:f85bdd5dd468c8af9f467ca1,osm:node:10171278941,15.8702083,108.3159055,poi_coordinate,10,0,osm_point,obs:7d23f237345b881ad61747d6
access:bdef1857c018f55debe8b14b,osm:node:10175727317,15.963165,107.7623158,poi_coordinate,10,0,osm_point,obs:45fb2c0c1124c2be28228a17
access:23e6beea8da075dbffc756f5,osm:node:10178512817,21.0675735,106.2215635,poi_coordinate,10,0,osm_point,obs:4a5bcf145b33d5ed9b5a8111
access:637433231ccda50f7bddd95c,osm:node:10178549417,21.0691552,106.222292,poi_coordinate,10,0,osm_point,obs:ab59651dfbfd98d770408558
access:bdf9703e07449cb7be3168ec,osm:node:10220706854,20.2535489,105.9214868,poi_coordinate,10,0,osm_point,obs:b2d8b701139e70912570cf3d
access:5e6378373472eac253980622,osm:node:10220706862,20.2315857,105.935904,poi_coordinate,10,0,osm_point,obs:9408ed1f368fe026fa7ca801
access:95d59390a22b7d43c0e430e5,osm:node:10221070956,20.1394544,106.0305004,poi_coordinate,10,0,osm_point,obs:0fb120a02d05fc6562d04cf0
access:9493588c669c6bb43fc813d0,osm:node:10223608917,8.7321607,106.6186088,poi_coordinate,10,0,osm_point,obs:0fd16cf5f43de5cc283fec69
access:959c28bc2997e7b18e96f3a5,osm:node:10239659651,17.7726202,106.0851207,poi_coordinate,10,0,osm_point,obs:5e97d904c74293fc59b807c4
access:efccedd62b8f7ea1bdd7579b,osm:node:10239678722,17.7676825,106.076979,poi_coordinate,10,0,osm_point,obs:a483a762c851334ab3818f19
access:1d16783a71fc55efc72feb9b,osm:node:10239685067,17.7715723,106.0885353,poi_coordinate,10,0,osm_point,obs:104694fe7dd803c71517fd0f
access:bf23b15c4465a2cfff53cf34,osm:node:10259377070,10.8101315,106.7312075,poi_coordinate,10,0,osm_point,obs:8b47cac56a7420b3b030a837
access:8a02dfff98d7d6b218220cd1,osm:node:10272437963,15.5464445,108.5201415,poi_coordinate,10,0,osm_point,obs:d4335d68d925dc6585f41c8b
access:2db3bae074518cd520cd2a5e,osm:node:10277216343,9.3124815,105.719933,poi_coordinate,10,0,osm_point,obs:b063a471ac6fcb2823e8971d
access:39653501819768fda83e8be9,osm:node:10277781610,11.4200359,108.8876343,poi_coordinate,10,0,osm_point,obs:1f8ec3fff2c8e6884661f5e7
access:9cde33390b7c077169926e4e,osm:node:10279641740,21.4335123,106.15587,poi_coordinate,10,0,osm_point,obs:b44469885ed5a534ea1ec66d
access:4aa99caf2e624c77fc9f2149,osm:node:10291730841,10.3286782,107.0826765,poi_coordinate,10,0,osm_point,obs:7a343f0174b298c898e138da
access:7202d5d605ee7e8b45ec4883,osm:node:10311880271,10.2485042,106.3556591,poi_coordinate,10,0,osm_point,obs:73a54c86808822200d718790
access:529f807689f1e819ffc048ea,osm:node:10311880272,10.2588594,106.3613989,poi_coordinate,10,0,osm_point,obs:818f18a4367742e18536a69a
access:9695d2a26851eb16371c62c0,osm:node:10311880273,10.2530182,106.3712868,poi_coordinate,10,0,osm_point,obs:90cdc6fb1ed8251e5f76c340
access:06d14c96cb6ed553cb853776,osm:node:10311880274,10.2475699,106.3743826,poi_coordinate,10,0,osm_point,obs:f6c248a68d86a6d3d765e5c0
access:4586e7b75272245f398a46f9,osm:node:10311880275,10.2361284,106.3763609,poi_coordinate,10,0,osm_point,obs:0c944e31a6222256a59a06b4
access:ee62251384c3aa7e7235aa35,osm:node:10311880276,10.2370372,106.3691562,poi_coordinate,10,0,osm_point,obs:d5f18174a4cbcfce54633f18
access:611c7592c0a9558dadbdf3c2,osm:node:10311880277,10.2288669,106.3772754,poi_coordinate,10,0,osm_point,obs:73cf4e94a9f4437509b1b898
access:eafdd2176804c6b73bdf38f1,osm:node:10311880278,10.2511332,106.398513,poi_coordinate,10,0,osm_point,obs:92eea74b78f4663ef7dccb8e
access:2ae480b150d34c7d070049e0,osm:node:10314270710,22.9784303,105.2428805,poi_coordinate,10,0,osm_point,obs:bbecd3d23e56b56c1f91f664
access:be0dfa79ada333e0f2fa2e6b,osm:node:10314905409,12.6823971,108.0425375,poi_coordinate,10,0,osm_point,obs:0d6e6f02861710c0c36c081d
access:8a77dc052fd1e3504fa29043,osm:node:1036552571,16.1874495,108.1307217,poi_coordinate,10,0,osm_point,obs:5846965671b5718b88cc0557
access:e5865d07220ab3be63b413f6,osm:node:1037736905,15.764466,108.1251852,poi_coordinate,10,0,osm_point,obs:8654a38e6f9273af4c67bf61
access:bd95fe3232d11d6b9bab1bc0,osm:node:1037737078,15.7633495,108.1253712,poi_coordinate,10,0,osm_point,obs:112150ed284f36f9f3caf632
access:60e930f10dd1ccaf072ecc0d,osm:node:1037737131,15.764688,108.1229102,poi_coordinate,10,0,osm_point,obs:c0de89145359c2f2519f04f4
access:0bc4e520c483154f66fb78c5,osm:node:1037737163,15.7630501,108.1240223,poi_coordinate,10,0,osm_point,obs:90bd52b14af41212b0116a7f
access:0c32a5cdd162c1b88d105edc,osm:node:1037737181,15.7625907,108.1251452,poi_coordinate,10,0,osm_point,obs:44dc52f01ffd6a937348a770
access:da7a17fa44d69e8a0d49c1e6,osm:node:1037737215,15.7648719,108.1252573,poi_coordinate,10,0,osm_point,obs:f8ada46a5e81a0210eb8e4cd
access:2bcab810351947fb480defd0,osm:node:1037737395,15.7632766,108.1241227,poi_coordinate,10,0,osm_point,obs:71f697a9795db8e7725baf7c
access:e5215f77c4683bb9b3ffefc3,osm:node:10538442209,20.2278025,105.9255819,poi_coordinate,10,0,osm_point,obs:74f969efe8477f76d905ab68
access:918a7713b1bd736df432d193,osm:node:10538947209,13.2843278,109.2553098,poi_coordinate,10,0,osm_point,obs:9be67cd7029a2ad1cfc289b9
access:6753257c77b36ced74df7d75,osm:node:10548902010,10.5208561,105.3148569,poi_coordinate,10,0,osm_point,obs:917ca340b93ecaebd7cc01d4
access:22611e4c4a93398dab06df48,osm:node:10565072143,21.3138919,105.7832552,poi_coordinate,10,0,osm_point,obs:bab07bcf3dfbe2c99596cdaa
access:86394378e6388f74e80b3218,osm:node:10574508512,10.2583261,106.4250844,poi_coordinate,10,0,osm_point,obs:6cd4ef7a1a918144be99155f
access:05f7fdb7fa2efdb3bce72a01,osm:node:10574519041,10.2597071,106.4262113,poi_coordinate,10,0,osm_point,obs:39b6d2bb5c0ea0f5f236dd3c
access:e2d7b448a9d5d0ef077ae360,osm:node:10574527141,10.25913,106.4259577,poi_coordinate,10,0,osm_point,obs:93a88b11b30642ac49c2dfba
access:dc3ad67bfe809aa25ceed70d,osm:node:10574535587,10.2587893,106.4257767,poi_coordinate,10,0,osm_point,obs:b96a514e14d77c29e0831353
access:81f99c4a7a4324a5b8d1b6d7,osm:node:10574606584,10.2703684,106.3870286,poi_coordinate,10,0,osm_point,obs:283adee801db2f24ef962cee
access:06323c5db428ccc74a4178fc,osm:node:10574657689,10.2647905,106.4066882,poi_coordinate,10,0,osm_point,obs:c5023f72338edf62c92adfed
access:64ab7fd7c0ef4b322f714e69,osm:node:10579241729,10.264084,106.4091231,poi_coordinate,10,0,osm_point,obs:aeab1fe7de6ddb3bb361f539
access:01b2d55e91fd560db62ae537,osm:node:10603622205,16.0520775,108.2156357,poi_coordinate,10,0,osm_point,obs:8a1a35fe274c7661849a7250
access:13c1c79dc84a916b0f8a0773,osm:node:10605991202,16.7558994,107.1817984,poi_coordinate,10,0,osm_point,obs:e603b6999ad08a9e1832f1a4
access:d438e44a88572681deddd61c,osm:node:10608268024,10.3591112,106.6749749,poi_coordinate,10,0,osm_point,obs:e8ac0631f15be5d3442312ab
access:2b5544c6a28ac0ecf453d6da,osm:node:10610602506,17.6305645,106.3595994,poi_coordinate,10,0,osm_point,obs:ae6297ba5e882ce49b931152
access:dc0fc9daf304a35f93da2e9c,osm:node:10610632105,17.6273844,106.3528085,poi_coordinate,10,0,osm_point,obs:0bc79fadf264b5acab88ffbe
access:d740a78b7c43b1e43153f1d4,osm:node:10635540903,20.8590207,107.0809085,poi_coordinate,10,0,osm_point,obs:347fcba28f8708c1461c04fc
access:223adc4a47368426d945a9ab,osm:node:10647941388,21.3446622,105.7978888,poi_coordinate,10,0,osm_point,obs:23bd79162effc51cda40042c
access:d735c06102daa75ae0d0fdb6,osm:node:10686251942,10.9571087,106.7493053,poi_coordinate,10,0,osm_point,obs:8ec0bc7c0b61ec8036570b70
access:e6dda4aa4471c4e77760950d,osm:node:10707281480,21.000473,105.9680689,poi_coordinate,10,0,osm_point,obs:8b173d3df15321ed54c5b4c1
access:d79ba95093436b01e6fff6cf,osm:node:10707281481,21.0007507,105.968795,poi_coordinate,10,0,osm_point,obs:0923fae6ce6baab281b4e516
access:e9fa60abc0de268fe36d351a,osm:node:10707281482,21.000909,105.968635,poi_coordinate,10,0,osm_point,obs:68ddf9df84f51dc71956637b
access:fc01fde67a4a0e5dd6fff4e3,osm:node:10707281483,21.0005975,105.9689499,poi_coordinate,10,0,osm_point,obs:80ff87bea1144d90fb17e61f
access:216829e90d82ea4163901734,osm:node:10707300738,21.000814,105.9688638,poi_coordinate,10,0,osm_point,obs:9d7ee7dc49ae8a06adf889ba
access:cc16a9a7c4b5c63c2931fa8c,osm:node:10709724107,16.0009523,108.2666434,poi_coordinate,10,0,osm_point,obs:87831053a4d0b3665074a53d
access:6b90432cabb688bca673f0d5,osm:node:10709724108,15.8700868,108.2613646,poi_coordinate,10,0,osm_point,obs:2f97a396e613e7bb7ef15e2a
access:ec2afcc5f709c61b0f611668,osm:node:10709724109,21.1498628,106.2554963,poi_coordinate,10,0,osm_point,obs:3281bbb9bdeb1b16d217ede1
access:2f45d55a23f36940b830912d,osm:node:10709724110,21.2047117,106.0406271,poi_coordinate,10,0,osm_point,obs:cbadbfe573f6ab6dde244e49
access:824a025653a2254e4311c9d7,osm:node:10709724111,20.7655951,105.8125742,poi_coordinate,10,0,osm_point,obs:38dc044f437b30f14c29b143
access:e49c61c3ab1ed5f72db801d7,osm:node:10709724112,20.9059837,105.6465455,poi_coordinate,10,0,osm_point,obs:b853c4783a694ddfafa40c54
access:aab8ff6641aae9e83a42d99a,osm:node:10709724113,20.913862,106.7961765,poi_coordinate,10,0,osm_point,obs:1f07deac8966dd5dba6cbf30
access:7736313ccab880e282e749a7,osm:node:10709724408,20.9827715,105.953726,poi_coordinate,10,0,osm_point,obs:3591819c0dc47bcfaea45c3d
access:1845d9e617cc78a739010c49,osm:node:10709724409,21.0453063,106.1449062,poi_coordinate,10,0,osm_point,obs:fde27533b59cd0585439ada8
access:ae45c256805da8034ef58192,osm:node:10709724410,20.9783903,105.7317022,poi_coordinate,10,0,osm_point,obs:e850151f13e7c03f5a176dbc
access:1ad0628ed2372ae851c8c478,osm:node:10709724411,20.89621,105.8379955,poi_coordinate,10,0,osm_point,obs:e6e439fd179201cb393705a0
access:5985ea3eb5c6118f44603ba4,osm:node:10709724412,20.7421626,105.8641791,poi_coordinate,10,0,osm_point,obs:d4bb193a2225966da4422c6b
access:10f6ca1201362327d406617e,osm:node:10709724413,20.7387677,105.8663633,poi_coordinate,10,0,osm_point,obs:2a8a8c19800c22a8cd1d5bb9
access:7ac3326d50bcf572f7380df4,osm:node:10709724414,20.8634559,105.9185044,poi_coordinate,10,0,osm_point,obs:0ed7c476f5efd159fea6e050
access:7319c046794687482167e54c,osm:node:10709724415,20.9090748,105.8926442,poi_coordinate,10,0,osm_point,obs:0219856713db20166111a565
access:3ba9f6d7d1df0a0376caf480,osm:node:10709724416,20.8319703,105.760651,poi_coordinate,10,0,osm_point,obs:eda8c09d2d3a7d49eac02ec6
access:966d8b81f3b2f7a212ce9eec,osm:node:10709724417,20.8104603,105.7782026,poi_coordinate,10,0,osm_point,obs:2724627d13ad3fbd065d6e64
access:df475067cc73f857fb9a1f0f,osm:node:10709724418,20.9279079,105.633816,poi_coordinate,10,0,osm_point,obs:b5189af49529503d1925a199
access:f7db26dbaff3dd2f9f299e75,osm:node:10709724419,19.9275606,105.4035142,poi_coordinate,10,0,osm_point,obs:05e11b9f41c72ed85aa01213
access:799fedf10b3007ff2eb8d289,osm:node:10709724420,15.8088145,108.4096566,poi_coordinate,10,0,osm_point,obs:9abf9ec44b71b5e69a77f42e
access:2f423db9144b475c7effecd3,osm:node:10709724421,20.8043906,105.7670815,poi_coordinate,10,0,osm_point,obs:97f51083e2eb8c049c42c770
access:74083b8b7abaff2bb00f2254,osm:node:10709738005,15.9867322,108.1772823,poi_coordinate,10,0,osm_point,obs:b4067953ee653aba9157dd30
access:095319c92a03a6871b07cab6,osm:node:10709738006,15.8645169,108.3253021,poi_coordinate,10,0,osm_point,obs:42fd5ad689bad99f575b5326
access:833a5d2ce7d7d0312032c17d,osm:node:10709738007,21.0004912,105.9681829,poi_coordinate,10,0,osm_point,obs:55613480847f2d2a8e44bfee
access:977b493288a41941d3de7070,osm:node:10709738008,21.0356057,106.042577,poi_coordinate,10,0,osm_point,obs:ff1d2399a55521456d2e4247
access:1be4a8c195cb2bb05cc582c8,osm:node:10709738009,21.07604,106.1979379,poi_coordinate,10,0,osm_point,obs:0f06d55a04dd0eb092054c49
