poi_id,short_minutes,typical_minutes,long_minutes,method,observation_id,verified_at
osm:node:1000087403,30,60,90,category_default,,
osm:node:10004148417,30,60,120,category_default,,
osm:node:10004148517,30,60,120,category_default,,
osm:node:10009157772,30,60,120,category_default,,
osm:node:10009461845,30,60,120,category_default,,
osm:node:1001114513,30,60,120,category_default,,
osm:node:10065432663,20,45,90,category_default,,
osm:node:10091771745,20,45,75,category_default,,
osm:node:10133138818,30,60,120,category_default,,
osm:node:10133150917,30,60,120,category_default,,
osm:node:10154412164,180,300,480,category_default,,
osm:node:1016630582,30,60,120,category_default,,
osm:node:1016631030,30,60,120,category_default,,
osm:node:1016631101,30,60,120,category_default,,
osm:node:10167435017,20,45,90,category_default,,
osm:node:10171278941,20,45,90,category_default,,
osm:node:10175727317,30,60,120,category_default,,
osm:node:10178512817,20,45,75,category_default,,
osm:node:10178549417,20,45,90,category_default,,
osm:node:10220706854,20,45,90,category_default,,
osm:node:10220706862,30,60,120,category_default,,
osm:node:10221070956,20,45,90,category_default,,
osm:node:10223608917,15,30,45,category_default,,
osm:node:10239659651,30,60,120,category_default,,
osm:node:10239678722,30,60,120,category_default,,
osm:node:10239685067,30,60,120,category_default,,
osm:node:10259377070,30,60,90,category_default,,
osm:node:10272437963,20,45,90,category_default,,
osm:node:10277216343,20,45,75,category_default,,
osm:node:10277781610,20,45,90,category_default,,
osm:node:10279641740,30,60,120,category_default,,
osm:node:10291730841,30,60,120,category_default,,
osm:node:10311880271,20,45,75,category_default,,
osm:node:10311880272,20,45,75,category_default,,
osm:node:10311880273,20,45,75,category_default,,
osm:node:10311880274,20,45,75,category_default,,
osm:node:10311880275,20,45,75,category_default,,
osm:node:10311880276,20,45,75,category_default,,
osm:node:10311880277,20,45,75,category_default,,
osm:node:10311880278,20,45,75,category_default,,
osm:node:10314270710,15,30,45,category_default,,
osm:node:10314905409,30,60,120,category_default,,
osm:node:1036552571,30,60,120,category_default,,
osm:node:1037736905,20,45,75,category_default,,
osm:node:1037737078,20,45,75,category_default,,
osm:node:1037737131,20,45,75,category_default,,
osm:node:1037737163,20,45,75,category_default,,
osm:node:1037737181,20,45,75,category_default,,
osm:node:1037737215,20,45,75,category_default,,
osm:node:1037737395,20,45,75,category_default,,
osm:node:10538442209,15,30,45,category_default,,
osm:node:10538947209,30,60,120,category_default,,
osm:node:10548902010,30,60,120,category_default,,
osm:node:10565072143,15,30,45,category_default,,
osm:node:10574508512,20,45,90,category_default,,
osm:node:10574519041,20,45,90,category_default,,
osm:node:10574527141,30,60,120,category_default,,
osm:node:10574535587,30,60,120,category_default,,
osm:node:10574606584,20,45,75,category_default,,
osm:node:10574657689,20,45,75,category_default,,
osm:node:10579241729,20,45,75,category_default,,
osm:node:10603622205,30,60,120,category_default,,
osm:node:10605991202,20,45,75,category_default,,
osm:node:10608268024,20,45,75,category_default,,
osm:node:10610602506,30,60,120,category_default,,
osm:node:10610632105,30,60,120,category_default,,
osm:node:10635540903,20,45,75,category_default,,
osm:node:10647941388,15,30,45,category_default,,
osm:node:10686251942,30,60,120,category_default,,
osm:node:10707281480,20,45,75,category_default,,
osm:node:10707281481,20,45,90,category_default,,
osm:node:10707281482,20,45,90,category_default,,
osm:node:10707281483,20,45,90,category_default,,
osm:node:10707300738,20,45,75,category_default,,
osm:node:10709724108,60,120,180,category_default,,
osm:node:10709724109,60,120,180,category_default,,
osm:node:10709724110,60,120,180,category_default,,
osm:node:10709724111,30,60,120,category_default,,
osm:node:10709724112,30,60,120,category_default,,
osm:node:10709724113,30,60,120,category_default,,
osm:node:10709724408,60,120,180,category_default,,
osm:node:10709724409,30,60,120,category_default,,
osm:node:10709724410,30,60,120,category_default,,
osm:node:10709724411,30,60,120,category_default,,
osm:node:10709724412,30,60,120,category_default,,
osm:node:10709724413,30,60,120,category_default,,
osm:node:10709724414,30,60,120,category_default,,
osm:node:10709724415,30,60,120,category_default,,
osm:node:10709724416,30,60,120,category_default,,
osm:node:10709724417,30,60,120,category_default,,
