image_id,poi_id,url,source_url,provider,rights_status,identity_status,validation_status,checked_at,content_type,width,height,observation_id
image:28138aec3e0560d2b67737f1,osm:node:10098130619,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkA2t7l3Er4sxS84BIct3W0KD3ikogTUXCn4w3gYyKlNR6DTZb4vrrRs8DEoPwOHMcra3bau0Sgz_SWuzJpY02nr7BsYsPXNtCEcNpCuUxcTX5feucEGjIbSJ6Ldo41c5z-UN7F=w408-h408-k-no,https://www.google.com/maps/place/Youone+Hotdog/data=!4m7!3m6!1s0x3135ab78766d6aab:0x3fc6519712baaf65!8m2!3d21.0192317!4d105.8289323!16s%2Fg%2F11flt8bg75!19sChIJq2ptdnirNTERZa-6EpdRxj8?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:11.324546+00:00,image/jpeg,408,408,obs:955da74861232afc072f20fb
image:647980057e7f5103f0a43671,osm:node:10114776452,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnCY3E3_LapkP-opy5vfv4s5THqRA-glTfu09FgRA-d8EKg7DpZI7PLTWbp4inhqUkhjids3LW1BJarnsdMPWakWqn4F5w7pGBRH52XARV4ths8AYEiS_BufvivDAaGPISVSk--rrGqfrc=w426-h240-k-no,https://www.google.com/maps/place/Skyline%20Coffee/data=!4m6!3m5!1s0x3135ab225dcc6499:0x98a736e561a52c4f!8m2!3d21.0167652!4d105.8212912,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:13.832372+00:00,image/jpeg,426,240,obs:ee0c668b5ede50354b2105de
image:3db82aa0744101c98ef5fece,osm:node:10179892274,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmRNB9zewzoLYU6WPXz-sreVamqtbt1dRZ63iOUMp3Jb332gdwWNWOF44CorYa22jGkBQEyEELgHybptE2jc_57doejMR_WlKXP-QkT3KiJGPfGKe0_uS79dDZnn04HY814SkcZ=w408-h271-k-no,https://www.google.com/maps/place/The%20East/data=!4m6!3m5!1s0x3135abafe4557d05:0x59e7c4a2df0ac130!8m2!3d21.0295053!4d105.8439258,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:13.286647+00:00,image/jpeg,407,271,obs:64dc5e9dc95a42ca6d63151e
image:84c61f018186fd4cc2089cd1,osm:node:10245908053,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmX8IgQrP9q1oeczB44HCZ6PgdThLiG6roNpLkMERWDQ8OPS4S3QszKBYKw5_PbsSU0U-W9PqywlnOhFPmzxd3rh7BvUi5oGq5p1Ofk8gv7ySFCQkm-KhNyFWXo91TV_rx3zrxHAUGAFTAb=w408-h272-k-no,https://www.google.com/maps/place/iMeatU+Korea+BBQ/data=!4m7!3m6!1s0x3135ab52bfb1e295:0x908b938d5383814a!8m2!3d21.0272498!4d105.8244095!16s%2Fg%2F11sck5l12p!19sChIJleKxv1KrNTERSoGDU42Ti5A?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:13.324616+00:00,image/jpeg,408,272,obs:38839682be0a40312704a57a
image:48e4f5a20fa3596997ceeab0,osm:node:10304039134,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlvvXtO1vM2Yy6CxKURTiIHX2SVdxFer0qWqsJzy4DureE6ZO9-ZFZ8kVOp-8jQnlHDxg_5IVG01iIL-cA_-8mhKcGWc_KvSecMbVwnfJS1rzgwnTpdkl8OgcMrKHIKD892qvzDVA=w408-h652-k-no,https://www.google.com/maps/place/Cadillac%20Bar%20and%20Grill/data=!4m6!3m5!1s0x31420d6e32959d8f:0x52f73ab1fc917933!8m2!3d15.8859346!4d108.350935,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:12.723646+00:00,image/jpeg,408,652,obs:c8b6250d97ad9aa8786ba4c9
image:4fac96d314d852e73cee8ad7,osm:node:10304609242,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkSDwk7cPg-ovgAaCN9fr2sodvg2kYe0GQyP3caUCCJDXfzscE0qlUyYDe-XyZcLyRf-UhGHORV7muB5bGfWsQh71M_6ekWd-DWPJgmaHzzlGCDCStIF0siQHzchzTgaH_y7UEA=w408-h306-k-no,https://www.google.com/maps/place/B%C3%A1nh%20X%C3%A8o%2C%20Th%E1%BB%8Bt%20N%C6%B0%E1%BB%9Bng%2C%20Nem%20L%E1%BB%A5i%20B%C3%A0%209/data=!4m6!3m5!1s0x31420ffeec1704c3:0x884166cb0ea7de7f!8m2!3d15.8789566!4d108.324442,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:11.765458+00:00,image/jpeg,408,306,obs:6d00cd54afc24ace0cd9d347
image:b93d278e87e3bdf49a841a80,osm:node:10310109109,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmADdYUzOc7dRTGA55LbJMuf820kQS34JkSct30yDLTDtVmlZaRJWwqGgq7cpTGGzxBaiCoo6Fo925jPpyS2Tbb6MYhGiBk_fOB82c4rmBBSAHTn6LlmbKx52Gw56gusObWgcqqzZvV9CX5=w408-h270-k-no,https://www.google.com/maps/place/KURUMI%20-%20Healthy%20Vegan%20Food%20%26%20Desserts/data=!4m6!3m5!1s0x314217cdd27d4825:0x531ff59d93f25194!8m2!3d16.0456987!4d108.2478571,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:12.970903+00:00,image/jpeg,407,270,obs:c4da720fe4ccd2c280a654cd
image:45763de1463cc9f9665eaf95,osm:node:10314905409,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkl1jU95BpsG8aH4a9SoAkCLBWUyX-RG-viH0oP3EhBnTeoDhOHUz4nu5yjmEt00rZFuKlF2hwL2nrvcl32hI6UfilVuc7lnqR0hKf3JIhiPo9lXC9bGg78BLm65M9HPonqLos=w408-h306-k-no,"https://www.google.com/maps/place/%C4%90%C3%ACnh+L%E1%BA%A1c+Giao/@12.6821689,108.0422722,17z/data=!3m1!4b1!4m6!3m5!1s0x31721d778134b8fb:0x1b0f8f4dd2da7ea0!8m2!3d12.6821689!4d108.0422722!16s%2Fg%2F122qs5ld?entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D",Google Maps,restricted_internal,legacy_entity_link,valid,2026-09-18T07:08:41.340314+00:00,image/png,408,306,obs:1d68588077f2103ae256249f
image:9475240ffd99f516b41b974b,osm:node:10536187009,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnwpE-U4kUs4R-HTrY7re_DWtcoEzPgbLQ6lj33b6-_im4f71KR0jiyKTDp3FEFNdbAqynqb87cputYtiN3oA5kgdFvc8O4lRAAFYxk0RPjNm0OFr5e48_d_4EgnVlCmrI0_3wC=w408-h725-k-no,https://www.google.com/maps/place/Dudu%20Cafe%20Hoi%20An/data=!4m6!3m5!1s0x31420f83321b61d3:0x2a81213e05016aeb!8m2!3d15.8774808!4d108.3317516,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:14.635091+00:00,image/jpeg,408,725,obs:068e178047ab6d13e74217f9
image:9de8da6025c20c28e9fc9068,osm:node:10652658505,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnRvEiQQMr1cBSN63SsVDO2eVwlZG_l79d55rHT62s5ptzniog5CtJTRtiWBAXVCAOG-wcQv0Hr5YUqnFXmG6gP4LkaqwTV3dEfltMOdbpjnqzxKi40wGQt1YQNlgn8dQENkbSU=w408-h327-k-no,https://www.google.com/maps/place/Peanuts%20-%20Vegan%20Vietnamese%20Food/data=!4m6!3m5!1s0x31420d53c0a4829f:0x7237c9715ed18c65!8m2!3d15.8792052!4d108.3445318,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:13.897165+00:00,image/jpeg,407,327,obs:eceb4680edaf96388183b13b
image:21f38e294ab65289113103e1,osm:node:10709724107,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmJPyNIlGCo4_c1ZO4CX7NdOawoJqARvbQ4juinOgjReUkL38r4cruNxxBUJYMpsswaZ-cZAu7ltH_9tDiLCDac508h_CHKL-CV4BII6zGmTiGpWJ8Z1ErlLbAMi4PnWIdaAA5rx98eJguY=w408-h544-k-no,https://www.google.com/maps/place/L%C3%A0ng+%C4%91%C3%A1+m%E1%BB%B9+ngh%E1%BB%87+Non+N%C6%B0%E1%BB%9Bc/data=!4m7!3m6!1s0x314211a7b6e28e7f:0xec7c1825f7a8a06a!8m2!3d16.0028222!4d108.261269!16s%2Fg%2F11zfnkkyc0!19sChIJf47itqcRQjERaqCo9yUYfOw?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:32:43.008688+00:00,image/jpeg,408,544,obs:98fac64385126f3c313487cb
image:4c8641651b088e01b3a4a788,osm:node:10709724110,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnt6HqF8ErIcIqtTZADHDXLpZDJvWtex9-kicfBtqvUQzplOZNfANJA9sODzuPG0faaZPlGATCEBbjmp3qGCzumkonvUhh3JSmsOpqANfEM8unul128C-lS6WhtNCkVYSqCsTn9=w408-h272-k-no,"https://www.google.com/maps/place/Th%E1%BB%95+H%C3%A0,+Van+Ha,+Bac+Ninh,+Vietnam/@21.2045933,106.0428292,15z/data=!3m1!4b1!4m6!3m5!1s0x31350eeee6ba3773:0xb159155f56717687!8m2!3d21.2045937!4d106.0428292!16s%2Fm%2F0j467v1?entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D",Google Maps,restricted_internal,needs_review,pending,,,,,obs:b9a980d28326df6cefb77fc1
image:4816c531b1abb7bc28c67a2d,osm:node:10709724414,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWndoY0pnEnUH_3U3GTSUNK86-DqMFwk8yEzVfnPRlb17Hr8NJEf1cwhxZ6nvQIA7Nsg8Xwb9WgA55GmjoBbm3QkMKrwomBXhwC4w7GdalgjPqpUBcm4T3CuqWaMI85SWF3d_qEtQQ=w408-h306-k-no,https://www.google.com/maps/place/%C4%90%C3%ACnh%20l%C3%A0ng%20T%E1%BB%B1%20Nhi%C3%AAn/data=!4m6!3m5!1s0x3135b1aa407ca47f:0x4edf8b2c8b1832c5!8m2!3d20.8631863!4d105.9182213,Google Maps,restricted_internal,entity_panel,valid,2026-09-18T07:47:14.209286+00:00,image/jpeg,408,306,obs:9ae861b9dff16c062c7df68a
image:cfe812bc3cdead37098f1b59,osm:node:10709724414,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmi5UUzoX53qCGXBrFwzMBdOXPC3Fgo7PjJNs0laR3MlUTRy-SJ9jV6v0112HEpO4wopO6NaCpR89fLFeg6TTJ6f97bOoufsMSA6d4yWuKe2v5kzwKXqfIOWN3rtJxXAAEGY5wiAw=w397-h298-k-no,"https://www.google.com/maps/place/%C4%90%C3%ACnh+l%C3%A0ng+T%E1%BB%B1+Nhi%C3%AAn/@20.8631863,105.9182213,17z/data=!3m1!4b1!4m6!3m5!1s0x3135b1aa407ca47f:0x4edf8b2c8b1832c5!8m2!3d20.8631863!4d105.9182213!16s%2Fg%2F1232kfv_0?entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D",Google Maps,restricted_internal,needs_review,pending,,,,,obs:ff773c60eb233dce9b8d762d
image:1068eadf94b324da7b2d8078,osm:node:10709738007,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl9jmyoKwN-DAkzgsp-roJe1Uaadj3B8oEhIx1kHGfbkPo6H6rV6ko7mSdbRj_kd8RycqES6x8r23hUHuV3uHiyhIeR7MHOVILeLG3AAjWNCsO4kxEr8ZceZAjofDDp_ureY3w=w408-h289-k-no,"https://www.google.com/maps/place/%C4%90%E1%BB%81n+Nguy%C3%AAn+Phi+%E1%BB%B6+Lan/@21.000526,105.9683091,17z/data=!3m1!4b1!4m6!3m5!1s0x3135a8aa3f1e0f6d:0xb6153a0ee4768f9d!8m2!3d21.000526!4d105.9683091!16s%2Fg%2F120tb76j?entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D",Google Maps,restricted_internal,legacy_entity_link,valid,2026-09-18T07:08:45.896487+00:00,image/jpeg,408,289,obs:9fca4ceaca6c7b1dc00c1f7f
image:d5b65be37604efeff22821bd,osm:node:10709738016,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmNfkbRtJZRIjBWy_MHLWfPSU1FkcW9TnokwfgM8nTlJj8ERu4Z9PbSiQmMUQX6e0Mv6iuM9sNhRIJk7a6vW9XF651dmVuMflN9ooVmiuXXy5r46bD42NFaTxMHr8-4GRFw9-HP9w=w408-h544-k-no,"https://www.google.com/maps/place/L%C3%A0ng+Ngh%E1%BB%81+M%C3%A2y+Tre+%C4%90an+Ph%C3%BA+Vinh/@20.9374323,105.6455137,17z/data=!3m1!4b1!4m6!3m5!1s0x313451d147c78c7d:0x293ce82df2e8a6e6!8m2!3d20.9374323!4d105.6455137!16s%2Fg%2F11l5pn69n9?entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D",Google Maps,restricted_internal,legacy_entity_link,valid,2026-09-18T07:09:02.666533+00:00,image/jpeg,408,544,obs:bad241f42bf6e387166f6225
image:ef91b045fd3b9d1ff86c33e3,osm:node:10709738105,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmSDByQzovJAbPNuNVbdlT3ZOg7CpTiTnOIXHaSM0W_tOZvG-MhqyCMmjXfFoItoacsSlXbti0uGeittrX69YnkUOkGleWE9OGgH1-lilE1Z6j2bHm9knRnaHmLDYy2GVeNo6Q=w408-h611-k-no,"https://www.google.com/maps/place/N%C6%B0%E1%BB%9Bc+m%E1%BA%AFm+Nam+%C3%94+-+H%C6%B0%C6%A1ng+L%C3%A0ng+C%E1%BB%95/@16.114754,108.1298484,17z/data=!3m1!4b1!4m6!3m5!1s0x31421fe5d9c9ec2d:0xdaf04b88490d22d5!8m2!3d16.114754!4d108.1298484!16s%2Fg%2F11h5w8nfsx?entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D",Google Maps,restricted_internal,needs_review,pending,,,,,obs:47f708b8714770ffe09c3171
