interval_id,poi_id,day_of_week,specific_date,status,open_minute,close_minute,closes_next_day,observation_id
hours:828aa72c7756c7c78a437ae7,osm:node:10154412164,0,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:a5b4e61a83135861dc145826,osm:node:10154412164,1,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:892ed4657751c4c93813ab37,osm:node:10154412164,2,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:76f83c03889d59cad9a92fff,osm:node:10154412164,3,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:acc656de29e0575cb6f39a5e,osm:node:10154412164,4,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:54e986c446934254e36fa775,osm:node:10154412164,5,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:07b67064c6ae5bab3c80109c,osm:node:10154412164,6,,open,510,1080,0,obs:0e695ffd2904854f5930c5d6
hours:3de9fafa7ad366880b9d06d8,osm:node:10743134758,0,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:71fdb94000d3895eb7ec7145,osm:node:10743134758,1,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:d02688c3b0ccae7ee38e373d,osm:node:10743134758,2,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:aa283e88a418f092c422c01f,osm:node:10743134758,3,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:8dae654d2b9e637046b62b02,osm:node:10743134758,4,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:c392f04f49992c621a25a6e3,osm:node:10743134758,5,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:eec361a723e13a618abddc37,osm:node:10743134758,6,,open,0,1440,0,obs:57ec1322755ce14ad67312bd
hours:ff94c5e4f87cd4ab983ff464,osm:node:10798553205,0,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:9451dd80a2ab968eee4905b1,osm:node:10798553205,1,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:96e28d07a071cadc12bbd014,osm:node:10798553205,2,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:7c292b8fe9c1c6e77def3aaf,osm:node:10798553205,3,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:c16a04fc0053de84c9b4cc52,osm:node:10798553205,4,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:115d72342928d99fef5eb615,osm:node:10798553205,5,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:8a19f2d84bc0a86bb127e7f7,osm:node:10798553205,6,,open,0,1440,0,obs:84f7843dea5f128ee2539c73
hours:626d7d1fafa09d88bcd8f3d0,osm:node:10820819105,0,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:6ae448855a8c7a0c9fea3e39,osm:node:10820819105,1,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:0cf59b78dc3ceea875fcacb4,osm:node:10820819105,2,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:200383c8aa650a49989fbd22,osm:node:10820819105,3,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:6c018bbfcbb895a0f80de99e,osm:node:10820819105,4,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:6399f16bc3fd4a0555edc9cb,osm:node:10820819105,5,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:1b37487c8ab77af25253cb9b,osm:node:10820819105,6,,open,0,1440,0,obs:fafbda70d7fb2ec930ee93ab
hours:7ac9af52ac8cc8ae51273982,osm:node:10833873535,0,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:e72ff18c2e5ef8429ea59a88,osm:node:10833873535,1,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:6f77d7224014940b370d0792,osm:node:10833873535,2,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:d3b1e3be00704149034effbf,osm:node:10833873535,3,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:1db95768a95249929a988f69,osm:node:10833873535,4,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:0d1279828d2a5f70edd92ac6,osm:node:10833873535,5,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:f9bb0cd24e3a115c1d780e76,osm:node:10833873535,6,,open,0,1440,0,obs:326d84cae9e16e28762c01c3
hours:1ba6cf5e80b28e05d76a834d,osm:node:10856722509,0,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:e6251906b02984efc9b62eb5,osm:node:10856722509,1,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:28c6ab42af9280e2a61da698,osm:node:10856722509,2,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:1ab40e6f62d138ae0fce4b2e,osm:node:10856722509,3,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:901a1b9e9b30a164c55c1863,osm:node:10856722509,4,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:b953759e33932054342c385c,osm:node:10856722509,5,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:ac4359a1a99c835ee4711c55,osm:node:10856722509,6,,open,360,1200,0,obs:ece02607d2a340b5a1191942
hours:856fe4eb71de52969c6cbe4a,osm:node:11040495502,0,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:a5819bf09b731f60d70f0ff8,osm:node:11040495502,1,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:0d8ad42d37dd9832f531b844,osm:node:11040495502,2,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:c7a8dbad3cb44aa093c59598,osm:node:11040495502,3,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:e685c2f6cd99809d4fe2c001,osm:node:11040495502,4,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:ce264777466ac3f0a6eaf674,osm:node:11040495502,5,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:14b93e944b5aeabf38fa1b60,osm:node:11040495502,6,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:0c032df0ea15839293e94004,osm:node:11425562478,0,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:e27a90139a78b0eb4ede9c23,osm:node:11425562478,1,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:47007ca320b0ce3550213c3c,osm:node:11425562478,2,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:c71eb1276f03f0fd296c8f02,osm:node:11425562478,3,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:65d135d17381154f3d968a61,osm:node:11425562478,4,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:9745d668de44619d0479b9d6,osm:node:11425562478,5,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:b783eac91252928850bd7147,osm:node:11425562478,6,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:ffbde9a68586012c3d040577,osm:node:11478369608,0,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:3d67619dee84edbb5bc663cd,osm:node:11478369608,1,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:46e2833c88c982b8374bc62b,osm:node:11478369608,2,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:2783fa5b926645ddff876a3e,osm:node:11478369608,3,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:fd931246968c4a6485e6f715,osm:node:11478369608,4,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
