poi_id,status,name,location,category,tags,parent_poi_id,business_status,latitude,longitude,website,source_url,description,hours_raw,has_structured_hours,has_full_week_hours,opening_hours_json,rating,review_count,rating_provider,rating_observed_at,duration_short_minutes,duration_typical_minutes,duration_long_minutes,duration_method,duration_verified_at,access_latitude,access_longitude,access_minutes,access_method,access_verified,entity_confirmed,serving_eligible,serving_reasons,data_rights,dataset_version
osm:node:1000087283,usable,Cà Phê Huy,Hà Nội,cafe,thư giãn|ẩm thực,,unknown,21.0264433,105.8368669,,https://www.openstreetmap.org/node/1000087283,,,False,False,null,,,,,20,30,60,category_default,,21.0264433,105.8368669,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:1000087403,usable,Nguyen Art Gallery,Hà Nội,gallery,nghệ thuật|trong nhà|văn hóa,,unknown,21.0285199,105.8364926,,https://www.openstreetmap.org/node/1000087403,,,False,False,null,,,,,30,60,90,category_default,,21.0285199,105.8364926,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:1000087449,usable,Nhà Hàng Chả Cá Văn Miếu,Hà Nội,restaurant,trong nhà|ẩm thực,,unknown,21.0296628,105.8369362,,https://www.openstreetmap.org/node/1000087449,,,False,False,null,,,,,45,60,90,category_default,,21.0296628,105.8369362,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10002371857,usable,Highlands Coffee,Hà Nội,cafe,thư giãn|ẩm thực,,unknown,21.0510044,105.892829,,https://www.openstreetmap.org/node/10002371857,,,False,False,null,,,,,20,30,60,category_default,,21.0510044,105.892829,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10002371862,usable,Starbucks,Hà Nội,cafe,thư giãn|ẩm thực,,unknown,21.0502399,105.8934286,,https://www.openstreetmap.org/node/10002371862,,,False,False,null,,,,,20,30,60,category_default,,21.0502399,105.8934286,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10002371867,usable,Nét Huế,Hà Nội,restaurant,trong nhà|ẩm thực,,unknown,21.0502542,105.8933138,,https://www.openstreetmap.org/node/10002371867,,,False,False,null,,,,,45,60,90,category_default,,21.0502542,105.8933138,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10002371882,usable,Ding Tea,Hà Nội,cafe,thư giãn|ẩm thực,,unknown,21.0506184,105.8935961,,https://www.openstreetmap.org/node/10002371882,,,False,False,null,,,,,20,30,60,category_default,,21.0506184,105.8935961,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10004148417,usable,Tuyet diem salins,Đắk Lắk,attraction,chụp ảnh|văn hóa,,unknown,13.5741837,109.232488,,https://www.openstreetmap.org/node/10004148417,,,False,False,null,,,,,30,60,120,category_default,,13.5741837,109.232488,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10004148517,usable,Dong muoi song Cau salins,Đắk Lắk,attraction,chụp ảnh|văn hóa,,unknown,13.4902487,109.2478759,,https://www.openstreetmap.org/node/10004148517,,,False,False,null,,,,,30,60,120,category_default,,13.4902487,109.2478759,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10009157772,usable,Thinh Long Phu Yen Solar Farm,Đắk Lắk,park,gia đình|ngoài trời|thiên nhiên|thư giãn,,unknown,13.0523897,109.0922307,,https://www.openstreetmap.org/node/10009157772,,,False,False,null,,,,,30,60,120,category_default,,13.0523897,109.0922307,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:10009461845,usable,Hoa Hoi Solar farm,Đắk Lắk,park,gia đình|ngoài trời|thiên nhiên|thư giãn,,unknown,13.0697749,109.0997526,,https://www.openstreetmap.org/node/10009461845,,,False,False,null,,,,,30,60,120,category_default,,13.0697749,109.0997526,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
osm:node:1001114513,usable,Bảo Tàng Địa Chất,Hồ Chí Minh,museum,lịch sử|nghệ thuật|trong nhà|văn hóa,,unknown,10.7849957,106.7076753,,https://www.openstreetmap.org/node/1001114513,,,False,False,null,,,,,30,60,120,category_default,,10.7849957,106.7076753,10,osm_point,False,True,False,insufficient_service_evidence,mixed; see sources.csv and summary.json,v2-c829c8f3e2414108
