location,set,priority_rank,poi_id,name,category,evidence_score,rating,review_count,hours_known,duration_method,access_verified,serving_evidence_count,review_status,missing_fields,dataset_version
Hà Nội,attraction,1,osm:node:5406262022,Đài quan sát Lotte Skywalk,attraction,7,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,2,osm:node:12090398186,Lunet Art Galerie,gallery,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,3,osm:node:10855443206,Chùa Tranh Khúc,temple,5,4.6,51,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,4,osm:node:12814113704,Chợ Cốm Mễ Trì Hạ,market,5,4.3,234,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,5,osm:way:1296795442,Vietgangz Farm,zoo,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,6,osm:way:208255133,Bảo tàng Hà Nội,museum,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,7,osm:node:9498047319,Khu Sinh Thái Thiên Phú Lâm,park,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,8,osm:way:696913691,Hoàng thành Thăng Long,historic,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,9,osm:node:10709724414,Đình làng Tự Nhiên,attraction,5,4.5,30,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,10,osm:node:12404222239,Chùa Hoà Phúc,temple,5,4.7,278,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,11,osm:node:13449384383,Chợ Quỳnh Đô,market,5,4.2,304,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,12,osm:way:1234036432,Đông Phong Art Gallery,gallery,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,13,osm:way:28945667,Công viên Thủ Lệ,zoo,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,14,osm:way:339936730,Bảo tàng Dân tộc học Việt Nam,museum,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,15,osm:way:1510802054,Phố Sách Hà Nội,park,4,4.5,1049,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,16,osm:node:12876453886,Đền Thiên Vương Thịnh,temple,5,5.0,10,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,17,osm:node:2471647464,Chợ Phùng Khoang,market,5,4.1,10593,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,18,osm:way:37629143,Bảo tàng Hồ Chí Minh,museum,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,19,osm:node:4489385889,Chợ Đêm Hàng Đào – Đồng Xuân,attraction,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,20,osm:way:1087731715,Vườn hoa Tao Đàn,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,21,osm:node:13352652760,Đình Thuận Quang,temple,5,4.8,4,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,22,osm:node:6849181831,Chợ Xanh Linh Đàm,market,5,5.0,3,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,23,osm:way:700145152,Bảo tàng Mỹ thuật Việt Nam,museum,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,24,osm:way:921987266,Thành cổ Sơn Tây,attraction,4,4.5,5498,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,25,osm:way:1103182086,Công viên Võ Thị Sáu,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,26,osm:node:3794435557,Đình Làng Quảng Bá,temple,5,4.5,75,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,27,osm:node:9237323772,Chợ Tư Đình,market,5,4.0,597,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,28,osm:way:704147278,Bảo tàng Phụ nữ Việt Nam,museum,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,29,osm:way:1223384698,Tonkin's park,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,30,osm:way:37625751,Lăng Chủ tịch Hồ Chí Minh,attraction,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,31,osm:node:5637455966,Chùa Mỗ Lao,temple,5,4.3,93,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,32,osm:node:12717381058,Chợ Định,market,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,33,osm:node:4499978190,Bảo tàng Địa chất Việt Nam,museum,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,34,osm:way:1253839879,Công viên hồ Cần,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,35,osm:node:7176884224,Den Phu Ung,temple,5,4.6,141,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,36,osm:node:13323664905,Chợ cóc Nguyễn An Ninh,market,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,37,osm:way:1019050229,Bảo tàng Binh chủng Hóa học,museum,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,38,osm:way:1307631429,Vườn hoa Nghè Ngô,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,39,osm:node:5441412622,Iglesia Ni Cristo - Hanoi,temple,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,40,osm:way:1114927597,Chợ Thượng Thanh,market,4,4.2,245,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,41,osm:way:136176176,Công viên hồ Đền Lừ,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,42,osm:way:340128580,Nhà tù Hoả Lò,museum,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,43,osm:node:9757095553,Chùa Hà Trì,temple,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,44,osm:way:1185629560,Chợ Dục Tú,market,4,4.3,86,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,45,osm:way:1365437934,Sân chơi khu đô thị Tân Tây Đô,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,46,osm:way:37933256,Viện Bảo tàng Lịch sử Việt Nam,museum,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,47,osm:relation:14428279,Chùa Bắc Biên,temple,4,4.6,69,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,48,osm:way:1192808464,Chợ Vồi,market,4,4.3,66,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,attraction,49,osm:way:223798542,Vườn hoa Lý Tự Trọng,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,attraction,50,osm:way:1063191474,Chùa Thọ Lão,temple,4,5.0,2,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Hà Nội,food_rest,1,osm:node:4131859590,Trà 3L Tân cương Thái nguyên,cafe,7,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,2,osm:node:6324812247,King BBQ Buffet 20 Hai Bà Trưng,restaurant,7,,,True,category_default,False,3,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,3,osm:node:6346505980,Nhà Hàng King BBQ,restaurant,7,,,True,category_default,False,3,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,4,osm:node:10011953034,Micasa - Tea & Coffee,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,5,osm:node:7333832605,Quỳnh Quán,restaurant,7,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,6,osm:node:10082412846,Highlands Coffee,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,7,osm:node:9181828827,WA GRILL - THỊT NƯỚNG MANG VỀ KÈM BẾP 24H,restaurant,7,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,8,osm:node:10114776452,Skyline Coffee,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,9,osm:node:10098130619,Youone Hotdog,restaurant,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,10,osm:node:10269656431,Starbucks,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,11,osm:node:10098130620,Youone Hotdog,restaurant,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,12,osm:node:10651129981,Joma Bakery Cafe,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,13,osm:node:10098130621,Youone Hotdog,restaurant,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,14,osm:node:10715935205,ACID8 Speciality Coffee,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,15,osm:node:10098130622,Youone Hotdog,restaurant,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,16,osm:node:11563281096,Nghiền cafe,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,17,osm:node:10158964415,Lẩu&Nướng Ăndeee - 188 Phó Đức Chính,restaurant,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,18,osm:node:11659995709,The Alley,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,19,osm:node:10179892274,The East,restaurant,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Hà Nội,food_rest,20,osm:node:11868107987,Kafa Café,cafe,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,1,osm:way:1556362196,Chợ Đêm Sơn Trà,market,7,3.6,2128,True,category_default,False,2,needs_manual_review,specific_duration|verified_access,v2-b082a4875a4b349a
Đà Nẵng,attraction,2,osm:node:11896339273,CSO Gallery,gallery,6,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,3,osm:node:12344125229,Di San Vô Giá,museum,6,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,4,osm:node:13040467529,Bãi Đá,beach,5,4.1,104,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Đà Nẵng,attraction,5,osm:node:1819451633,Chùa Hải Tạng,temple,5,4.4,514,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Đà Nẵng,attraction,6,osm:node:5747015021,Đỉnh Quế,viewpoint,5,4.0,602,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Đà Nẵng,attraction,7,osm:way:198804483,Thánh địa Mỹ Sơn,attraction,5,,,True,category_default,False,2,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,8,osm:node:10154412164,Fantasy Park,theme_park,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,9,osm:way:846695791,Trung tâm Văn hóa - Thể thao quận Thanh Khê,park,3,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,10,osm:node:12333995781,Chợ đêm Lê Duẩn,market,5,4.0,97,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Đà Nẵng,attraction,11,osm:node:4280016689,Chùa Giác Hoàng Viên,temple,5,4.5,15,False,category_default,False,1,needs_manual_review,opening_hours|specific_duration|verified_access,v2-b082a4875a4b349a
Đà Nẵng,attraction,12,osm:node:8883385553,TASY STUDIO,gallery,5,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,13,osm:node:11934169470,Queen Cobra,attraction,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
Đà Nẵng,attraction,14,osm:node:5513474821,Terracotta Park,museum,4,,,True,category_default,False,1,needs_manual_review,specific_duration|verified_access|rating_pair,v2-b082a4875a4b349a
