poi_id,name,location,category,reasons,evidence_count,source_url,dataset_version
osm:node:1000087283,Cà Phê Huy,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/1000087283,v2-c829c8f3e2414108
osm:node:1000087403,Nguyen Art Gallery,Hà Nội,gallery,insufficient_service_evidence,0,https://www.openstreetmap.org/node/1000087403,v2-c829c8f3e2414108
osm:node:1000087449,Nhà Hàng Chả Cá Văn Miếu,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/1000087449,v2-c829c8f3e2414108
osm:node:10002371857,Highlands Coffee,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10002371857,v2-c829c8f3e2414108
osm:node:10002371862,Starbucks,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10002371862,v2-c829c8f3e2414108
osm:node:10002371867,Nét Huế,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10002371867,v2-c829c8f3e2414108
osm:node:10002371882,Ding Tea,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10002371882,v2-c829c8f3e2414108
osm:node:10044381092,Old Hanoi Restaurant,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10044381092,v2-c829c8f3e2414108
osm:node:10048501032,Coffee Golf Gach,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10048501032,v2-c829c8f3e2414108
osm:node:10048686918,Pao coffee,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10048686918,v2-c829c8f3e2414108
osm:node:10091771745,Nguyễn Trãi,Hà Nội,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10091771745,v2-c829c8f3e2414108
osm:node:10105860276,Pho Minh,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10105860276,v2-c829c8f3e2414108
osm:node:10111472817,Hu Tieu,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10111472817,v2-c829c8f3e2414108
osm:node:10111550317,Bánh Canh Ruộng,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10111550317,v2-c829c8f3e2414108
osm:node:10120064768,Aha,Hà Nội,cafe,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/node/10120064768,v2-c829c8f3e2414108
osm:node:10120064773,Yu Tang,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10120064773,v2-c829c8f3e2414108
osm:node:10120348018,Lu Coffee,Đà Nẵng,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10120348018,v2-c829c8f3e2414108
osm:node:10126113417,Thia Go,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10126113417,v2-c829c8f3e2414108
osm:node:10127588217,"Mrs Tam - Nem Lui, Bun Thit Nuong",Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10127588217,v2-c829c8f3e2414108
osm:node:10137315103,NĂM RẢNH HẢI SẢN,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10137315103,v2-c829c8f3e2414108
osm:node:10154412491,Kungfu Noodle,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10154412491,v2-c829c8f3e2414108
osm:node:10166537621,Quán bánh mì,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10166537621,v2-c829c8f3e2414108
osm:node:10171278941,Chùa Kim Bửu,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10171278941,v2-c829c8f3e2414108
osm:node:10175727317,Bho hoong village ethnique,Đà Nẵng,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10175727317,v2-c829c8f3e2414108
osm:node:10183312317,Hanoi Train Track Cafe - Coffee 17,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10183312317,v2-c829c8f3e2414108
osm:node:10199648444,Nhà ăn Quân Sự,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10199648444,v2-c829c8f3e2414108
osm:node:10213906581,Cơm bình dân,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10213906581,v2-c829c8f3e2414108
osm:node:10216519958,d,Hà Nội,restaurant,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/node/10216519958,v2-c829c8f3e2414108
osm:node:10222614647,Colette,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10222614647,v2-c829c8f3e2414108
osm:node:10230442790,Cafe Sakura,Đà Nẵng,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10230442790,v2-c829c8f3e2414108
osm:node:10240244244,COZI Lẩu Nướng Bia Hàn Quốc,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10240244244,v2-c829c8f3e2414108
osm:node:10240244246,Fin House - Buffet Lẩu Thái,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10240244246,v2-c829c8f3e2414108
osm:node:10240244247,Lẩu Nướng Huyền Anh,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10240244247,v2-c829c8f3e2414108
osm:node:10240244250,Quán cỏ restaurant,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10240244250,v2-c829c8f3e2414108
osm:node:10240244251,345,Hà Nội,restaurant,weak_or_generic_name,1,https://www.openstreetmap.org/node/10240244251,v2-c829c8f3e2414108
osm:node:10244441610,Ca Bop,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10244441610,v2-c829c8f3e2414108
osm:node:10245738609,Gau Coffee & Bakery,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10245738609,v2-c829c8f3e2414108
osm:node:10247214096,cơm chị yến,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10247214096,v2-c829c8f3e2414108
osm:node:10248628282,ToCoToCo,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10248628282,v2-c829c8f3e2414108
osm:node:10248628286,Tea & Coffee fixx,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10248628286,v2-c829c8f3e2414108
osm:node:10248628304,Ami Cafe,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10248628304,v2-c829c8f3e2414108
osm:node:10248628307,Nhà hàng Cơm Phố,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10248628307,v2-c829c8f3e2414108
osm:node:10248661411,Café Bình Minh,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10248661411,v2-c829c8f3e2414108
osm:node:10250353711,garden houde 2,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10250353711,v2-c829c8f3e2414108
osm:node:10254828330,Cửa hàng bánh ngọt Bảo Ngọc,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10254828330,v2-c829c8f3e2414108
osm:node:10255177807,Café nhà kê,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255177807,v2-c829c8f3e2414108
osm:node:10255192009,Fin BBQ,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255192009,v2-c829c8f3e2414108
osm:node:10255192016,Bún Riêu cá Trường Sa,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255192016,v2-c829c8f3e2414108
osm:node:10255708090,Cửa hàng hải sản tươi,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255708090,v2-c829c8f3e2414108
osm:node:10255708094,coffe chill,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255708094,v2-c829c8f3e2414108
osm:node:10255708095,Trà sữa Lofi,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255708095,v2-c829c8f3e2414108
osm:node:10255708096,Giải Khát Thúy Hằng,Hà Nội,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10255708096,v2-c829c8f3e2414108
osm:node:10258564239,Tháng 6 Cafe,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/node/10258564239,v2-c829c8f3e2414108
